日期,胡润
2011-01-01,60
2011-01-08,51
2011-01-15,41
2011-01-22,70
2011-01-29,33
2011-02-05,41
2011-02-12,33
2011-02-19,33
2011-02-26,34
2011-03-05,44
2011-03-12,51
2011-03-19,42
2011-03-26,43
2011-04-02,26
2011-04-09,43
2011-04-16,56
2011-04-23,52
2011-04-30,51
2011-05-07,34
2011-05-14,44
2011-05-21,52
2011-05-28,26
2011-06-04,46
2011-06-11,50
2011-06-18,25
2011-06-25,42
2011-07-02,42
2011-07-09,42
2011-07-16,33
2011-07-23,33
2011-07-30,50
2011-08-06,34
2011-08-13,33
2011-08-20,25
2011-08-27,51
2011-09-03,33
2011-09-10,64
2011-09-17,65
2011-09-24,79
2011-10-01,63
2011-10-08,43
2011-10-15,61
2011-10-22,53
2011-10-29,34
2011-11-05,54
2011-11-12,42
2011-11-19,61
2011-11-26,59
2011-12-03,34
2011-12-10,41
2011-12-17,25
2011-12-24,33
2011-12-31,33
2012-01-07,51
2012-01-14,66
2012-01-21,52
2012-01-28,41
2012-02-04,43
2012-02-11,33
2012-02-18,42
2012-02-25,50
2012-03-03,49
2012-03-10,66
2012-03-17,60
2012-03-24,33
2012-03-31,60
2012-04-07,52
2012-04-14,44
2012-04-21,52
2012-04-28,42
2012-05-05,34
2012-05-12,42
2012-05-19,41
2012-05-26,61
2012-06-02,50
2012-06-09,26
2012-06-16,59
2012-06-23,59
2012-06-30,34
2012-07-07,49
2012-07-14,52
2012-07-21,50
2012-07-28,42
2012-08-04,34
2012-08-11,34
2012-08-18,51
2012-08-25,42
2012-09-01,42
2012-09-08,41
2012-09-15,33
2012-09-22,33
2012-09-29,50
2012-10-06,33
2012-10-13,53
2012-10-20,43
2012-10-27,44
2012-11-03,51
2012-11-10,59
2012-11-17,9
2012-11-24,26
2012-12-01,42
2012-12-08,33
2012-12-15,58
2012-12-22,43
2012-12-29,33
2013-01-05,33
2013-01-12,42
2013-01-19,33
2013-01-26,57
2013-02-02,33
2013-02-09,17
2013-02-16,50
2013-02-23,17
2013-03-02,59
2013-03-09,61
2013-03-16,34
2013-03-23,58
2013-03-30,34
2013-04-06,24
2013-04-13,44
2013-04-20,41
2013-04-27,33
2013-05-04,33
2013-05-11,51
2013-05-18,33
2013-05-25,41
2013-06-01,50
2013-06-08,33
2013-06-15,8
2013-06-22,33
2013-06-29,33
2013-07-06,83
2013-07-13,83
2013-07-20,101
2013-07-27,96
2013-08-03,102
2013-08-10,85
2013-08-17,105
2013-08-24,201
2013-08-31,135
2013-09-07,66
2013-09-14,138
2013-09-21,121
2013-09-28,97
2013-10-05,101
2013-10-12,89
2013-10-19,122
2013-10-26,111
2013-11-02,109
2013-11-09,101
2013-11-16,109
2013-11-23,81
2013-11-30,75
2013-12-07,108
2013-12-14,91
2013-12-21,75
2013-12-28,66
2014-01-04,33
2014-01-11,104
2014-01-18,107
2014-01-25,69
2014-02-01,105
2014-02-08,110
2014-02-15,102
2014-02-22,97
2014-03-01,154
2014-03-08,125
2014-03-15,110
2014-03-22,113
2014-03-29,85
2014-04-05,94
2014-04-12,116
2014-04-19,131
2014-04-26,120
2014-05-03,98
2014-05-10,112
2014-05-17,100
2014-05-24,101
2014-05-31,108
2014-06-07,117
2014-06-14,112
2014-06-21,102
2014-06-28,105
2014-07-05,95
2014-07-12,94
2014-07-19,119
2014-07-26,111
2014-08-02,102
2014-08-09,115
2014-08-16,118
2014-08-23,104
2014-08-30,138
2014-09-06,115
2014-09-13,132
2014-09-20,132
2014-09-27,165
2014-10-04,131
2014-10-11,115
2014-10-18,110
2014-10-25,152
2014-11-01,137
2014-11-08,134
2014-11-15,125
2014-11-22,129
2014-11-29,136
2014-12-06,117
2014-12-13,111
2014-12-20,110
2014-12-27,129
2015-01-03,115
2015-01-10,96
2015-01-17,84
2015-01-24,90
2015-01-31,109
2015-02-07,142
2015-02-14,103
2015-02-21,108
2015-02-28,93
2015-03-07,119
2015-03-14,110
2015-03-21,106
2015-03-28,93
2015-04-04,118
2015-04-11,102
2015-04-18,96
2015-04-25,100
2015-05-02,94
2015-05-09,126
2015-05-16,104
2015-05-23,107
2015-05-30,112
2015-06-06,102
2015-06-13,95
2015-06-20,94
2015-06-27,105
2015-07-04,101
2015-07-11,106
2015-07-18,76
2015-07-25,120
2015-08-01,104
2015-08-08,103
2015-08-15,101
2015-08-22,154
2015-08-29,105
2015-09-05,93
2015-09-12,113
2015-09-19,134
2015-09-26,128
2015-10-03,115
2015-10-10,125
2015-10-17,163
2015-10-24,158
2015-10-31,124
2015-11-07,124
2015-11-14,123
2015-11-21,131
2015-11-28,120
2015-12-05,133
2015-12-12,130
2015-12-19,147
2015-12-26,138
2016-01-02,121
2016-01-09,132
2016-01-16,125
2016-01-23,138
2016-01-30,108
2016-02-06,102
2016-02-13,106
2016-02-20,110
2016-02-27,147
2016-03-05,138
2016-03-12,128
2016-03-19,127
2016-03-26,109
2016-04-02,118
2016-04-09,94
2016-04-16,67
2016-04-23,75
2016-04-30,68
2016-05-07,111
2016-05-14,100
2016-05-21,101
2016-05-28,100
2016-06-04,84
2016-06-11,78
2016-06-18,83
2016-06-25,85
2016-07-02,101
2016-07-09,100
2016-07-16,74
2016-07-23,101
2016-07-30,84
2016-08-06,83
2016-08-13,67
2016-08-20,66
2016-08-27,67
2016-09-03,104
2016-09-10,100
2016-09-17,66
2016-09-24,91
2016-10-01,102
2016-10-08,100
2016-10-15,139
2016-10-22,115
2016-10-29,105
2016-11-05,91
2016-11-12,70
2016-11-19,95
2016-11-26,67
2016-12-03,91
2016-12-10,104
2016-12-17,105
2016-12-24,112
2016-12-31,81
2017-01-07,113
2017-01-14,93
2017-01-21,93
2017-01-28,83
2017-02-04,84
2017-02-11,78
2017-02-18,92
2017-02-25,89
2017-03-04,81
2017-03-11,112
2017-03-18,113
2017-03-25,93
2017-04-01,85
2017-04-08,75
2017-04-15,51
2017-04-22,100
2017-04-29,90
2017-05-06,78
2017-05-13,85
2017-05-20,76
2017-05-27,92
2017-06-03,69
2017-06-10,94
2017-06-17,100
2017-06-24,85
2017-07-01,85
2017-07-08,94
2017-07-15,92
2017-07-22,93
2017-07-29,112
2017-08-05,92
2017-08-12,117
2017-08-19,76
2017-08-26,88
2017-09-02,83
2017-09-09,118
2017-09-16,68
2017-09-23,91
2017-09-30,68
2017-10-07,68
2017-10-14,143
2017-10-21,133
2017-10-28,118
2017-11-04,113
2017-11-11,81
2017-11-18,112
2017-11-25,111
2017-12-02,116
2017-12-09,95
2017-12-16,104
2017-12-23,104
2017-12-30,123
2018-01-06,112
2018-01-13,86
2018-01-20,85
2018-01-27,87
2018-02-03,110
2018-02-10,105
2018-02-17,50
2018-02-24,110
2018-03-03,136
2018-03-10,105
2018-03-17,85
2018-03-24,84
2018-03-31,67
2018-04-07,84
2018-04-14,102
2018-04-21,97
2018-04-28,69
2018-05-05,74
2018-05-12,95
2018-05-19,92
2018-05-26,86
2018-06-02,100
2018-06-09,50
2018-06-16,84
2018-06-23,59
2018-06-30,84
2018-07-07,74
2018-07-14,67
2018-07-21,101
2018-07-28,68
2018-08-04,111
2018-08-11,74
2018-08-18,66
2018-08-25,66
2018-09-01,100
2018-09-08,76
2018-09-15,108
2018-09-22,58
2018-09-29,84
2018-10-06,84
2018-10-13,141
2018-10-20,113
2018-10-27,115
2018-11-03,106
2018-11-10,97
2018-11-17,86
2018-11-24,89
2018-12-01,100
2018-12-08,113
2018-12-15,84
2018-12-22,77
2018-12-29,75
2019-01-05,88
2019-01-12,101
2019-01-19,94
2019-01-26,67
2019-02-02,50
2019-02-09,66
2019-02-16,69
2019-02-23,68
2019-03-02,115
2019-03-09,104
2019-03-16,76
2019-03-23,84
2019-03-30,84
2019-04-06,76
2019-04-13,76
2019-04-20,84
2019-04-27,68
2019-05-04,91
2019-05-11,66
2019-05-18,59
2019-05-25,67
2019-06-01,51
2019-06-08,17
2019-06-15,58
2019-06-22,50
2019-06-29,75
2019-07-06,50
2019-07-13,42
2019-07-20,42
2019-07-27,50
2019-08-03,66
2019-08-10,49
2019-08-17,41
2019-08-24,50
2019-08-31,66
2019-09-07,67
2019-09-14,67
2019-09-21,58
2019-09-28,66
2019-10-05,67
2019-10-12,114
2019-10-19,105
2019-10-26,90
2019-11-02,101
2019-11-09,84
2019-11-16,110
2019-11-23,97
2019-11-30,58
2019-12-07,68
2019-12-14,83
2019-12-21,84
2019-12-28,82
2020-01-04,58
2020-01-11,68
2020-01-18,50
2020-01-25,65
2020-02-01,66
2020-02-08,59
2020-02-15,84
2020-02-22,100
2020-02-29,113
2020-03-07,104
2020-03-14,121
2020-03-21,91
2020-03-28,68
2020-04-04,75
2020-04-11,103
2020-04-18,85
2020-04-25,75
2020-05-02,58
2020-05-09,91
2020-05-16,83
2020-05-23,66
2020-05-30,75
2020-06-06,41
2020-06-13,50
2020-06-20,50
2020-06-27,100
2020-07-04,50
2020-07-11,58
2020-07-18,75
2020-07-25,93
2020-08-01,58
2020-08-08,87
2020-08-15,41
2020-08-22,68
2020-08-29,67
2020-09-05,50
2020-09-12,81
2020-09-19,57
2020-09-26,49
2020-10-03,50
2020-10-10,58
2020-10-17,84
2020-10-24,86
2020-10-31,66
2020-11-07,86
2020-11-14,59
2020-11-21,33
2020-11-28,68
2020-12-05,50
2020-12-12,59
2020-12-19,50
2020-12-26,76
2021-01-02,61
2021-01-09,76
2021-01-16,103
2021-01-23,76
2021-01-30,42
2021-02-06,83
2021-02-13,76
2021-02-20,68
2021-02-27,76
2021-03-06,121
2021-03-13,69
2021-03-20,91
2021-03-27,134
2021-04-03,142
2021-04-10,103
2021-04-17,96
2021-04-24,87
2021-05-01,84
2021-05-08,74
2021-05-15,85
2021-05-22,75
2021-05-29,77
2021-06-05,58
2021-06-12,50
2021-06-19,58
2021-06-26,67
2021-07-03,42
2021-07-10,74
2021-07-17,42
2021-07-24,33
2021-07-31,57
2021-08-07,77
2021-08-14,69
2021-08-21,68
2021-08-28,41
2021-09-04,41
2021-09-11,83
2021-09-18,60
2021-09-25,41
2021-10-02,49
2021-10-09,58
2021-10-16,50
2021-10-23,68
2021-10-30,86
2021-11-06,74
2021-11-13,78
2021-11-20,74
2021-11-27,83
2021-12-04,85
2021-12-11,85
2021-12-18,50
2021-12-25,76
2022-01-01,85
2022-01-08,50
2022-01-15,66
2022-01-22,67
2022-01-29,75
2022-02-05,49
2022-02-12,82
2022-02-19,93
2022-02-26,83
2022-03-05,67
2022-03-12,76
2022-03-19,76
2022-03-26,95
2022-04-02,85
2022-04-09,76
2022-04-16,77
2022-04-23,67
2022-04-30,100
2022-05-07,83
2022-05-14,85
2022-05-21,50
2022-05-28,33
2022-06-04,108
2022-06-11,42
2022-06-18,67
2022-06-25,58
2022-07-02,58
2022-07-09,96
2022-07-16,58
2022-07-23,50
2022-07-30,33
2022-08-06,51
2022-08-13,66
2022-08-20,67
2022-08-27,50
2022-09-03,60
2022-09-10,72
2022-09-17,96
2022-09-24,101
2022-10-01,74
2022-10-08,58
2022-10-15,42
2022-10-22,75
2022-10-29,94
2022-11-05,85
2022-11-12,132
2022-11-19,119
2022-11-26,103
2022-12-03,97
2022-12-10,100
2022-12-17,131
2022-12-24,100
2022-12-31,70
2023-01-07,62
2023-01-14,96
2023-01-21,85
2023-01-28,61
2023-02-04,78
2023-02-11,70
2023-02-18,84
2023-02-25,71
2023-03-04,69
2023-03-11,106
2023-03-18,105
2023-03-25,81
2023-04-01,76
2023-04-08,99
2023-04-15,66
2023-04-22,75
2023-04-29,68
2023-05-06,67
2023-05-13,59
2023-05-20,43
2023-05-27,49
2023-06-03,41
2023-06-10,74
2023-06-17,41
2023-06-24,49
2023-07-01,58
2023-07-08,57
2023-07-15,49
2023-07-22,58
2023-07-29,42
2023-08-05,85
2023-08-12,67
2023-08-19,67
2023-08-26,49
2023-09-02,42
2023-09-09,33
2023-09-16,59
2023-09-23,41
2023-09-30,66
2023-10-07,42
2023-10-14,24
2023-10-21,49
2023-10-28,76
2023-11-04,24
2023-11-11,34
2023-11-18,82
2023-11-25,75
2023-12-02,33
2023-12-09,50
2023-12-16,49
2023-12-23,41
2023-12-30,41
2024-01-06,50
2024-01-13,60
2024-01-20,58
2024-01-27,60
2024-02-03,50
2024-02-10,33
2024-02-17,42
2024-02-24,74
2024-03-02,68
2024-03-09,74
2024-03-16,59
2024-03-23,79
2024-03-30,106
2024-04-06,73
2024-04-13,58
2024-04-20,82
2024-04-27,66
2024-05-04,24
2024-05-11,43
2024-05-18,33
2024-05-25,8
2024-06-01,41
2024-06-08,26
2024-06-15,50
2024-06-22,42
2024-06-29,16
2024-07-06,34
2024-07-13,24
2024-07-20,67
2024-07-27,137
2024-08-03,79
2024-08-10,17
2024-08-17,50
2024-08-24,42
2024-08-31,16
2024-09-07,75
2024-09-14,41
2024-09-21,34
2024-09-28,60
2024-10-05,42
2024-10-12,42
2024-10-19,25
2024-10-26,57
2024-11-02,88
2024-11-09,59
2024-11-16,74
2024-11-23,59
2024-11-30,50
2024-12-07,33
2024-12-14,67
2024-12-21,84
2024-12-28,41
2025-01-04,49
2025-01-11,43
2025-01-18,53
2025-01-25,60
2025-02-01,34
2025-02-08,68
2025-02-15,33
2025-02-22,67
2025-03-01,80
2025-03-08,88
2025-03-15,41
2025-03-22,49
2025-03-29,59
2025-04-05,52
2025-04-12,76
2025-04-19,85
2025-04-26,25
2025-05-03,68
2025-05-10,50
2025-05-17,50
2025-05-24,67
2025-05-31,58
2025-06-07,42
2025-06-14,55
2025-06-21,33
2025-06-28,50
2025-07-05,41
2025-07-12,16
2025-07-19,43
