日期,胡润
2011-01-01,102
2011-01-08,103
2011-01-15,99
2011-01-22,170
2011-01-29,89
2011-02-05,66
2011-02-12,80
2011-02-19,96
2011-02-26,79
2011-03-05,94
2011-03-12,98
2011-03-19,77
2011-03-26,96
2011-04-02,99
2011-04-09,86
2011-04-16,179
2011-04-23,119
2011-04-30,92
2011-05-07,91
2011-05-14,87
2011-05-21,117
2011-05-28,88
2011-06-04,125
2011-06-11,82
2011-06-18,102
2011-06-25,77
2011-07-02,84
2011-07-09,87
2011-07-16,107
2011-07-23,96
2011-07-30,82
2011-08-06,77
2011-08-13,79
2011-08-20,72
2011-08-27,96
2011-09-03,81
2011-09-10,232
2011-09-17,101
2011-09-24,207
2011-10-01,127
2011-10-08,80
2011-10-15,109
2011-10-22,94
2011-10-29,103
2011-11-05,127
2011-11-12,92
2011-11-19,128
2011-11-26,91
2011-12-03,80
2011-12-10,77
2011-12-17,78
2011-12-24,82
2011-12-31,81
2012-01-07,78
2012-01-14,148
2012-01-21,99
2012-01-28,69
2012-02-04,78
2012-02-11,79
2012-02-18,84
2012-02-25,81
2012-03-03,89
2012-03-10,220
2012-03-17,98
2012-03-24,88
2012-03-31,136
2012-04-07,82
2012-04-14,107
2012-04-21,91
2012-04-28,79
2012-05-05,77
2012-05-12,87
2012-05-19,87
2012-05-26,115
2012-06-02,100
2012-06-09,87
2012-06-16,85
2012-06-23,76
2012-06-30,83
2012-07-07,88
2012-07-14,108
2012-07-21,101
2012-07-28,114
2012-08-04,120
2012-08-11,97
2012-08-18,81
2012-08-25,83
2012-09-01,84
2012-09-08,79
2012-09-15,75
2012-09-22,80
2012-09-29,190
2012-10-06,97
2012-10-13,148
2012-10-20,121
2012-10-27,93
2012-11-03,103
2012-11-10,98
2012-11-17,79
2012-11-24,91
2012-12-01,87
2012-12-08,78
2012-12-15,77
2012-12-22,80
2012-12-29,80
2013-01-05,74
2013-01-12,89
2013-01-19,94
2013-01-26,82
2013-02-02,72
2013-02-09,67
2013-02-16,64
2013-02-23,77
2013-03-02,196
2013-03-09,118
2013-03-16,93
2013-03-23,80
2013-03-30,82
2013-04-06,78
2013-04-13,97
2013-04-20,104
2013-04-27,100
2013-05-04,76
2013-05-11,84
2013-05-18,83
2013-05-25,84
2013-06-01,84
2013-06-08,94
2013-06-15,75
2013-06-22,77
2013-06-29,73
2013-07-06,135
2013-07-13,139
2013-07-20,148
2013-07-27,177
2013-08-03,170
2013-08-10,144
2013-08-17,191
2013-08-24,285
2013-08-31,151
2013-09-07,142
2013-09-14,318
2013-09-21,227
2013-09-28,192
2013-10-05,139
2013-10-12,233
2013-10-19,277
2013-10-26,356
2013-11-02,334
2013-11-09,322
2013-11-16,354
2013-11-23,225
2013-11-30,155
2013-12-07,155
2013-12-14,148
2013-12-21,151
2013-12-28,145
2014-01-04,139
2014-01-11,259
2014-01-18,258
2014-01-25,180
2014-02-01,224
2014-02-08,151
2014-02-15,183
2014-02-22,188
2014-03-01,335
2014-03-08,201
2014-03-15,213
2014-03-22,195
2014-03-29,176
2014-04-05,173
2014-04-12,233
2014-04-19,289
2014-04-26,280
2014-05-03,171
2014-05-10,190
2014-05-17,248
2014-05-24,247
2014-05-31,210
2014-06-07,240
2014-06-14,237
2014-06-21,266
2014-06-28,410
2014-07-05,347
2014-07-12,381
2014-07-19,360
2014-07-26,351
2014-08-02,428
2014-08-09,338
2014-08-16,357
2014-08-23,355
2014-08-30,400
2014-09-06,311
2014-09-13,329
2014-09-20,347
2014-09-27,543
2014-10-04,255
2014-10-11,317
2014-10-18,272
2014-10-25,420
2014-11-01,346
2014-11-08,291
2014-11-15,280
2014-11-22,314
2014-11-29,351
2014-12-06,275
2014-12-13,277
2014-12-20,257
2014-12-27,290
2015-01-03,233
2015-01-10,238
2015-01-17,218
2015-01-24,199
2015-01-31,247
2015-02-07,354
2015-02-14,187
2015-02-21,138
2015-02-28,158
2015-03-07,189
2015-03-14,185
2015-03-21,217
2015-03-28,176
2015-04-04,213
2015-04-11,193
2015-04-18,201
2015-04-25,187
2015-05-02,182
2015-05-09,364
2015-05-16,197
2015-05-23,191
2015-05-30,215
2015-06-06,181
2015-06-13,173
2015-06-20,167
2015-06-27,173
2015-07-04,184
