日期,胡润
2011-01-01,67
2011-01-08,60
2011-01-15,42
2011-01-22,72
2011-01-29,36
2011-02-05,58
2011-02-12,51
2011-02-19,42
2011-02-26,51
2011-03-05,26
2011-03-12,43
2011-03-19,34
2011-03-26,50
2011-04-02,41
2011-04-09,43
2011-04-16,64
2011-04-23,52
2011-04-30,51
2011-05-07,60
2011-05-14,51
2011-05-21,55
2011-05-28,51
2011-06-04,66
2011-06-11,60
2011-06-18,59
2011-06-25,43
2011-07-02,59
2011-07-09,42
2011-07-16,64
2011-07-23,62
2011-07-30,53
2011-08-06,60
2011-08-13,61
2011-08-20,52
2011-08-27,54
2011-09-03,62
2011-09-10,80
2011-09-17,63
2011-09-24,97
2011-10-01,81
2011-10-08,63
2011-10-15,66
2011-10-22,62
2011-10-29,63
2011-11-05,71
2011-11-12,64
2011-11-19,58
2011-11-26,60
2011-12-03,62
2011-12-10,63
2011-12-17,61
2011-12-24,61
2011-12-31,61
2012-01-07,52
2012-01-14,73
2012-01-21,63
2012-01-28,41
2012-02-04,52
2012-02-11,50
2012-02-18,51
2012-02-25,52
2012-03-03,52
2012-03-10,74
2012-03-17,55
2012-03-24,52
2012-03-31,66
2012-04-07,44
2012-04-14,68
2012-04-21,53
2012-04-28,45
2012-05-05,53
2012-05-12,43
2012-05-19,59
2012-05-26,54
2012-06-02,62
2012-06-09,44
2012-06-16,53
2012-06-23,42
2012-06-30,76
2012-07-07,94
2012-07-14,68
2012-07-21,64
2012-07-28,67
2012-08-04,61
2012-08-11,62
2012-08-18,49
2012-08-25,59
2012-09-01,50
2012-09-08,42
2012-09-15,50
2012-09-22,26
2012-09-29,63
2012-10-06,51
2012-10-13,66
2012-10-20,51
2012-10-27,43
2012-11-03,51
2012-11-10,45
2012-11-17,41
2012-11-24,51
2012-12-01,33
2012-12-08,33
2012-12-15,42
2012-12-22,42
2012-12-29,41
2013-01-05,17
2013-01-12,51
2013-01-19,42
2013-01-26,34
2013-02-02,33
2013-02-09,34
2013-02-16,33
2013-02-23,41
2013-03-02,70
2013-03-09,61
2013-03-16,51
2013-03-23,51
2013-03-30,25
2013-04-06,49
2013-04-13,59
2013-04-20,35
2013-04-27,35
2013-05-04,51
2013-05-11,33
2013-05-18,42
2013-05-25,60
2013-06-01,42
2013-06-08,50
2013-06-15,42
2013-06-22,34
2013-06-29,33
2013-07-06,101
2013-07-13,76
2013-07-20,35
2013-07-27,94
2013-08-03,113
2013-08-10,58
2013-08-17,90
2013-08-24,146
2013-08-31,105
2013-09-07,50
2013-09-14,146
2013-09-21,123
2013-09-28,107
2013-10-05,92
2013-10-12,115
2013-10-19,128
2013-10-26,150
2013-11-02,138
2013-11-09,124
2013-11-16,118
2013-11-23,116
2013-11-30,102
2013-12-07,109
2013-12-14,84
2013-12-21,111
2013-12-28,67
2014-01-04,76
2014-01-11,118
2014-01-18,112
2014-01-25,96
2014-02-01,124
2014-02-08,94
2014-02-15,86
2014-02-22,110
2014-03-01,135
2014-03-08,126
2014-03-15,120
2014-03-22,103
