日期,胡润
2011-01-01,70
2011-01-08,63
2011-01-15,64
2011-01-22,77
2011-01-29,64
2011-02-05,59
2011-02-12,44
2011-02-19,50
2011-02-26,52
2011-03-05,61
2011-03-12,56
2011-03-19,43
2011-03-26,61
2011-04-02,43
2011-04-09,63
2011-04-16,80
2011-04-23,61
2011-04-30,54
2011-05-07,53
2011-05-14,62
2011-05-21,66
2011-05-28,51
2011-06-04,52
2011-06-11,60
2011-06-18,64
2011-06-25,61
2011-07-02,60
2011-07-09,53
2011-07-16,55
2011-07-23,61
2011-07-30,43
2011-08-06,26
2011-08-13,35
2011-08-20,50
2011-08-27,54
2011-09-03,49
2011-09-10,92
2011-09-17,64
2011-09-24,81
2011-10-01,65
2011-10-08,51
2011-10-15,64
2011-10-22,62
2011-10-29,60
2011-11-05,68
2011-11-12,61
2011-11-19,57
2011-11-26,52
2011-12-03,61
2011-12-10,60
2011-12-17,43
2011-12-24,61
2011-12-31,61
2012-01-07,52
2012-01-14,58
2012-01-21,61
2012-01-28,42
2012-02-04,33
2012-02-11,59
2012-02-18,51
2012-02-25,43
2012-03-03,54
2012-03-10,94
2012-03-17,64
2012-03-24,61
2012-03-31,69
2012-04-07,63
2012-04-14,68
2012-04-21,62
2012-04-28,52
2012-05-05,51
2012-05-12,61
2012-05-19,61
2012-05-26,60
2012-06-02,63
2012-06-09,62
2012-06-16,53
2012-06-23,52
2012-06-30,61
2012-07-07,61
2012-07-14,67
2012-07-21,62
2012-07-28,60
2012-08-04,66
2012-08-11,54
2012-08-18,51
2012-08-25,60
2012-09-01,60
2012-09-08,53
2012-09-15,43
2012-09-22,53
2012-09-29,81
2012-10-06,53
2012-10-13,70
2012-10-20,65
2012-10-27,58
2012-11-03,64
2012-11-10,62
2012-11-17,51
2012-11-24,53
2012-12-01,62
2012-12-08,44
2012-12-15,52
2012-12-22,62
2012-12-29,44
2013-01-05,51
2013-01-12,53
2013-01-19,63
2013-01-26,52
2013-02-02,44
2013-02-09,45
2013-02-16,51
2013-02-23,61
2013-03-02,94
2013-03-09,71
2013-03-16,65
2013-03-23,61
2013-03-30,61
2013-04-06,53
2013-04-13,63
2013-04-20,67
2013-04-27,61
2013-05-04,62
2013-05-11,62
2013-05-18,61
2013-05-25,61
2013-06-01,61
2013-06-08,63
2013-06-15,61
2013-06-22,59
2013-06-29,53
2013-07-06,84
2013-07-13,94
2013-07-20,112
2013-07-27,125
2013-08-03,118
2013-08-10,114
2013-08-17,121
2013-08-24,174
2013-08-31,104
2013-09-07,123
2013-09-14,159
2013-09-21,149
2013-09-28,146
2013-10-05,124
2013-10-12,145
2013-10-19,157
2013-10-26,133
2013-11-02,122
2013-11-09,136
2013-11-16,128
2013-11-23,122
2013-11-30,122
2013-12-07,113
2013-12-14,98
2013-12-21,95
2013-12-28,88
2014-01-04,102
2014-01-11,161
2014-01-18,153
2014-01-25,101
2014-02-01,128
2014-02-08,121
2014-02-15,130
2014-02-22,130
2014-03-01,186
2014-03-08,144
2014-03-15,129
2014-03-22,122
2014-03-29,125
2014-04-05,111
2014-04-12,140
2014-04-19,171
2014-04-26,155
2014-05-03,111
2014-05-10,133
2014-05-17,154
2014-05-24,144
2014-05-31,132
2014-06-07,146
2014-06-14,147
2014-06-21,160
2014-06-28,201
2014-07-05,173
2014-07-12,180
2014-07-19,157
2014-07-26,158
2014-08-02,180
2014-08-09,156
2014-08-16,177
2014-08-23,162
2014-08-30,192
2014-09-06,158
2014-09-13,164
2014-09-20,168
2014-09-27,228
2014-10-04,159
2014-10-11,164
2014-10-18,110
2014-10-25,188
2014-11-01,162
2014-11-08,163
2014-11-15,152
2014-11-22,158
2014-11-29,182
2014-12-06,146
2014-12-13,148
2014-12-20,138
2014-12-27,154
2015-01-03,135
2015-01-10,123
2015-01-17,122
2015-01-24,122
2015-01-31,118
2015-02-07,168
2015-02-14,118
2015-02-21,103
2015-02-28,115
2015-03-07,125
2015-03-14,109
2015-03-21,116
2015-03-28,121
2015-04-04,132
2015-04-11,124
2015-04-18,120
2015-04-25,126
2015-05-02,129
2015-05-09,178
2015-05-16,121
2015-05-23,114
2015-05-30,122
2015-06-06,105
2015-06-13,103
2015-06-20,109
2015-06-27,119
2015-07-04,127
2015-07-11,122
2015-07-18,107
2015-07-25,159
2015-08-01,118
2015-08-08,114
2015-08-15,127
2015-08-22,213
2015-08-29,159
2015-09-05,106
2015-09-12,124
2015-09-19,148
2015-09-26,160
2015-10-03,153
2015-10-10,150
2015-10-17,241
2015-10-24,193
2015-10-31,164
2015-11-07,163
2015-11-14,173
2015-11-21,155
2015-11-28,148
2015-12-05,157
2015-12-12,152
2015-12-19,189
2015-12-26,168
2016-01-02,149
2016-01-09,154
2016-01-16,151
2016-01-23,154
2016-01-30,138
2016-02-06,129
2016-02-13,121
2016-02-20,124
2016-02-27,176
2016-03-05,158
2016-03-12,154
2016-03-19,149
2016-03-26,134
2016-04-02,129
2016-04-09,121
2016-04-16,108
2016-04-23,108
2016-04-30,108
2016-05-07,126
2016-05-14,116
2016-05-21,126
2016-05-28,126
2016-06-04,129
2016-06-11,119
2016-06-18,107
2016-06-25,125
2016-07-02,110
2016-07-09,116
2016-07-16,96
2016-07-23,128
2016-07-30,99
2016-08-06,104
2016-08-13,103
2016-08-20,104
2016-08-27,121
2016-09-03,118
2016-09-10,126
2016-09-17,95
2016-09-24,112
2016-10-01,91
2016-10-08,105
2016-10-15,140
2016-10-22,129
2016-10-29,131
2016-11-05,123
2016-11-12,95
2016-11-19,118
2016-11-26,110
2016-12-03,112
2016-12-10,72
2016-12-17,124
2016-12-24,124
2016-12-31,123
2017-01-07,113
2017-01-14,115
2017-01-21,102
2017-01-28,84
2017-02-04,76
2017-02-11,77
2017-02-18,87
2017-02-25,114
2017-03-04,106
2017-03-11,133
2017-03-18,127
2017-03-25,112
2017-04-01,69
2017-04-08,112
2017-04-15,70
2017-04-22,104
2017-04-29,102
2017-05-06,89
2017-05-13,119
2017-05-20,87
2017-05-27,107
2017-06-03,85
2017-06-10,110
2017-06-17,107
2017-06-24,126
2017-07-01,165
2017-07-08,124
2017-07-15,125
2017-07-22,125
2017-07-29,95
2017-08-05,115
2017-08-12,110
2017-08-19,104
2017-08-26,108
2017-09-02,87
2017-09-09,119
2017-09-16,125
2017-09-23,132
2017-09-30,117
2017-10-07,91
2017-10-14,197
2017-10-21,147
2017-10-28,137
2017-11-04,119
2017-11-11,124
2017-11-18,122
2017-11-25,108
2017-12-02,108
2017-12-09,126
2017-12-16,127
2017-12-23,108
2017-12-30,121
2018-01-06,116
2018-01-13,126
2018-01-20,118
2018-01-27,118
2018-02-03,101
2018-02-10,104
2018-02-17,85
2018-02-24,104
2018-03-03,152
2018-03-10,140
2018-03-17,125
2018-03-24,117
2018-03-31,117
2018-04-07,124
2018-04-14,128
2018-04-21,117
2018-04-28,113
2018-05-05,89
2018-05-12,98
2018-05-19,112
2018-05-26,95
2018-06-02,122
2018-06-09,111
2018-06-16,114
2018-06-23,103
2018-06-30,86
2018-07-07,94
2018-07-14,95
2018-07-21,105
2018-07-28,104
2018-08-04,113
2018-08-11,123
2018-08-18,69
2018-08-25,94
2018-09-01,94
2018-09-08,116
2018-09-15,111
2018-09-22,117
2018-09-29,102
2018-10-06,77
2018-10-13,155
2018-10-20,128
2018-10-27,158
2018-11-03,121
2018-11-10,127
2018-11-17,121
2018-11-24,125
2018-12-01,116
2018-12-08,122
2018-12-15,103
2018-12-22,115
2018-12-29,84
2019-01-05,109
2019-01-12,105
2019-01-19,115
2019-01-26,112
2019-02-02,110
2019-02-09,75
2019-02-16,94
2019-02-23,111
2019-03-02,133
2019-03-09,114
2019-03-16,106
2019-03-23,119
2019-03-30,121
2019-04-06,76
2019-04-13,113
2019-04-20,86
2019-04-27,122
2019-05-04,92
2019-05-11,96
2019-05-18,79
2019-05-25,103
2019-06-01,111
2019-06-08,122
2019-06-15,113
2019-06-22,109
2019-06-29,122
2019-07-06,110
2019-07-13,84
2019-07-20,76
2019-07-27,77
2019-08-03,83
2019-08-10,92
2019-08-17,93
2019-08-24,93
2019-08-31,75
2019-09-07,69
2019-09-14,95
2019-09-21,93
2019-09-28,93
2019-10-05,75
2019-10-12,147
2019-10-19,105
2019-10-26,133
2019-11-02,118
2019-11-09,120
2019-11-16,115
2019-11-23,142
2019-11-30,95
2019-12-07,124
2019-12-14,116
2019-12-21,112
2019-12-28,96
2020-01-04,76
2020-01-11,118
2020-01-18,106
2020-01-25,59
2020-02-01,75
2020-02-08,91
2020-02-15,95
2020-02-22,111
2020-02-29,128
2020-03-07,100
2020-03-14,126
2020-03-21,110
2020-03-28,106
2020-04-04,102
2020-04-11,132
2020-04-18,104
2020-04-25,102
2020-05-02,78
2020-05-09,94
2020-05-16,112
2020-05-23,87
2020-05-30,106
2020-06-06,66
2020-06-13,75
2020-06-20,85
2020-06-27,107
2020-07-04,86
2020-07-11,76
2020-07-18,76
2020-07-25,110
2020-08-01,104
2020-08-08,113
2020-08-15,94
2020-08-22,103
2020-08-29,84
2020-09-05,85
2020-09-12,130
2020-09-19,96
2020-09-26,102
2020-10-03,69
2020-10-10,83
2020-10-17,115
2020-10-24,133
2020-10-31,122
2020-11-07,110
2020-11-14,103
2020-11-21,93
2020-11-28,106
2020-12-05,113
2020-12-12,104
2020-12-19,113
2020-12-26,98
2021-01-02,96
2021-01-09,94
2021-01-16,93
2021-01-23,85
2021-01-30,75
2021-02-06,66
2021-02-13,89
2021-02-20,112
2021-02-27,112
2021-03-06,152
2021-03-13,121
2021-03-20,87
2021-03-27,156
2021-04-03,174
2021-04-10,143
2021-04-17,128
2021-04-24,128
2021-05-01,106
2021-05-08,89
2021-05-15,97
2021-05-22,115
2021-05-29,95
2021-06-05,102
2021-06-12,94
2021-06-19,102
2021-06-26,111
2021-07-03,85
2021-07-10,84
2021-07-17,101
2021-07-24,93
2021-07-31,74
2021-08-07,86
2021-08-14,94
2021-08-21,100
2021-08-28,109
2021-09-04,92
2021-09-11,106
2021-09-18,112
2021-09-25,106
2021-10-02,84
2021-10-09,76
2021-10-16,113
2021-10-23,115
2021-10-30,135
2021-11-06,102
2021-11-13,101
2021-11-20,105
2021-11-27,105
2021-12-04,85
2021-12-11,104
2021-12-18,102
2021-12-25,115
2022-01-01,114
2022-01-08,103
2022-01-15,118
2022-01-22,99
2022-01-29,114
2022-02-05,76
2022-02-12,113
2022-02-19,97
2022-02-26,93
2022-03-05,110
2022-03-12,111
2022-03-19,127
2022-03-26,117
2022-04-02,113
2022-04-09,113
2022-04-16,106
2022-04-23,111
2022-04-30,103
2022-05-07,112
2022-05-14,89
2022-05-21,90
2022-05-28,113
2022-06-04,110
2022-06-11,113
2022-06-18,85
2022-06-25,94
2022-07-02,86
2022-07-09,106
2022-07-16,104
2022-07-23,111
2022-07-30,102
2022-08-06,93
2022-08-13,103
2022-08-20,104
2022-08-27,97
2022-09-03,103
2022-09-10,96
2022-09-17,100
2022-09-24,101
2022-10-01,71
2022-10-08,95
2022-10-15,121
2022-10-22,78
2022-10-29,113
2022-11-05,123
2022-11-12,173
2022-11-19,124
2022-11-26,132
2022-12-03,100
2022-12-10,107
2022-12-17,140
2022-12-24,114
2022-12-31,99
2023-01-07,95
2023-01-14,103
2023-01-21,96
2023-01-28,103
2023-02-04,95
2023-02-11,106
2023-02-18,79
2023-02-25,122
2023-03-04,121
2023-03-11,134
2023-03-18,102
2023-03-25,128
2023-04-01,106
2023-04-08,120
2023-04-15,84
2023-04-22,97
2023-04-29,103
2023-05-06,77
2023-05-13,69
2023-05-20,69
2023-05-27,85
2023-06-03,84
2023-06-10,103
2023-06-17,77
2023-06-24,84
2023-07-01,101
2023-07-08,60
2023-07-15,84
2023-07-22,58
2023-07-29,66
2023-08-05,77
2023-08-12,67
2023-08-19,61
2023-08-26,76
2023-09-02,93
2023-09-09,78
2023-09-16,91
2023-09-23,93
2023-09-30,78
2023-10-07,95
2023-10-14,92
2023-10-21,83
2023-10-28,108
2023-11-04,83
2023-11-11,78
2023-11-18,135
2023-11-25,96
2023-12-02,84
2023-12-09,75
2023-12-16,83
2023-12-23,50
2023-12-30,69
2024-01-06,101
2024-01-13,60
2024-01-20,58
2024-01-27,50
2024-02-03,93
2024-02-10,58
2024-02-17,67
2024-02-24,94
2024-03-02,105
2024-03-09,111
2024-03-16,104
2024-03-23,124
2024-03-30,121
2024-04-06,92
2024-04-13,85
2024-04-20,66
2024-04-27,105
2024-05-04,58
2024-05-11,60
2024-05-18,66
2024-05-25,76
2024-06-01,76
2024-06-08,76
2024-06-15,86
2024-06-22,92
2024-06-29,85
2024-07-06,67
2024-07-13,68
2024-07-20,75
2024-07-27,93
2024-08-03,53
2024-08-10,74
2024-08-17,66
2024-08-24,67
2024-08-31,92
2024-09-07,95
2024-09-14,75
2024-09-21,67
2024-09-28,110
2024-10-05,77
2024-10-12,68
2024-10-19,68
2024-10-26,83
2024-11-02,110
2024-11-09,102
2024-11-16,75
2024-11-23,103
2024-11-30,76
2024-12-07,93
2024-12-14,78
2024-12-21,108
2024-12-28,93
2025-01-04,42
2025-01-11,99
2025-01-18,106
2025-01-25,93
2025-02-01,51
2025-02-08,68
2025-02-15,67
2025-02-22,51
2025-03-01,114
2025-03-08,115
2025-03-15,85
2025-03-22,94
2025-03-29,73
2025-04-05,91
2025-04-12,92
2025-04-19,97
2025-04-26,86
2025-05-03,87
2025-05-10,96
2025-05-17,103
