日期,胡润
2011-01-01,0
2011-01-08,16
2011-01-15,8
2011-01-22,25
2011-01-29,25
2011-02-05,8
2011-02-12,16
2011-02-19,0
2011-02-26,17
2011-03-05,8
2011-03-12,8
2011-03-19,8
2011-03-26,0
2011-04-02,33
2011-04-09,16
2011-04-16,33
2011-04-23,33
2011-04-30,8
2011-05-07,0
2011-05-14,24
2011-05-21,33
2011-05-28,17
2011-06-04,34
2011-06-11,25
2011-06-18,16
2011-06-25,42
2011-07-02,25
2011-07-09,33
2011-07-16,33
2011-07-23,34
2011-07-30,42
2011-08-06,42
2011-08-13,43
2011-08-20,34
2011-08-27,18
2011-09-03,8
2011-09-10,27
2011-09-17,16
2011-09-24,44
2011-10-01,34
2011-10-08,16
2011-10-15,41
2011-10-22,25
2011-10-29,16
2011-11-05,33
2011-11-12,0
2011-11-19,8
2011-11-26,8
2011-12-03,8
2011-12-10,8
2011-12-17,16
2011-12-24,0
2011-12-31,8
2012-01-07,8
2012-01-14,16
2012-01-21,34
2012-01-28,16
2012-02-04,8
2012-02-11,8
2012-02-18,24
2012-02-25,8
2012-03-03,0
2012-03-10,26
2012-03-17,0
2012-03-24,16
2012-03-31,42
2012-04-07,24
2012-04-14,33
2012-04-21,34
2012-04-28,0
2012-05-05,8
2012-05-12,8
2012-05-19,17
2012-05-26,25
2012-06-02,17
2012-06-09,16
2012-06-16,8
2012-06-23,0
2012-06-30,16
2012-07-07,17
2012-07-14,33
2012-07-21,0
2012-07-28,8
2012-08-04,8
2012-08-11,17
2012-08-18,17
2012-08-25,8
2012-09-01,17
2012-09-08,8
2012-09-15,9
2012-09-22,0
2012-09-29,17
2012-10-06,16
2012-10-13,8
2012-10-20,16
2012-10-27,17
2012-11-03,24
2012-11-10,8
2012-11-17,8
2012-11-24,25
2012-12-01,0
2012-12-08,16
2012-12-15,17
2012-12-22,24
2012-12-29,8
2013-01-05,8
2013-01-12,16
2013-01-19,8
2013-01-26,33
2013-02-02,24
2013-02-09,8
2013-02-16,0
2013-02-23,0
2013-03-02,25
2013-03-09,25
2013-03-16,25
2013-03-23,8
2013-03-30,17
2013-04-06,17
2013-04-13,8
2013-04-20,17
2013-04-27,0
2013-05-04,0
2013-05-11,8
2013-05-18,0
2013-05-25,0
2013-06-01,16
2013-06-08,16
2013-06-15,24
2013-06-22,33
2013-06-29,16
2013-07-06,17
2013-07-13,16
2013-07-20,25
2013-07-27,24
2013-08-03,62
2013-08-10,33
2013-08-17,42
2013-08-24,55
2013-08-31,17
2013-09-07,24
2013-09-14,70
2013-09-21,51
2013-09-28,57
2013-10-05,51
2013-10-12,59
2013-10-19,42
2013-10-26,57
2013-11-02,49
2013-11-09,41
2013-11-16,76
2013-11-23,59
2013-11-30,33
2013-12-07,33
2013-12-14,25
2013-12-21,24
2013-12-28,58
2014-01-04,33
2014-01-11,41
2014-01-18,58
2014-01-25,41
2014-02-01,34
2014-02-08,25
2014-02-15,24
2014-02-22,33
2014-03-01,98
2014-03-08,42
2014-03-15,41
2014-03-22,41
2014-03-29,17
2014-04-05,24
2014-04-12,50
2014-04-19,84
2014-04-26,67
2014-05-03,50
2014-05-10,66
2014-05-17,66
2014-05-24,44
2014-05-31,25
2014-06-07,33
2014-06-14,58
2014-06-21,50
2014-06-28,69
2014-07-05,51
2014-07-12,61
2014-07-19,67
2014-07-26,51
2014-08-02,86
2014-08-09,51
2014-08-16,76
2014-08-23,60
2014-08-30,66
2014-09-06,51
2014-09-13,61
2014-09-20,59
2014-09-27,115
2014-10-04,92
2014-10-11,75
2014-10-18,49
2014-10-25,90
2014-11-01,69
2014-11-08,58
2014-11-15,59
2014-11-22,94
2014-11-29,65
2014-12-06,42
2014-12-13,75
2014-12-20,49
2014-12-27,50
2015-01-03,25
2015-01-10,57
2015-01-17,24
2015-01-24,24
2015-01-31,33
2015-02-07,52
2015-02-14,49
2015-02-21,8
2015-02-28,33
2015-03-07,33
2015-03-14,8
2015-03-21,16
2015-03-28,8
2015-04-04,60
2015-04-11,41
2015-04-18,33
2015-04-25,34
2015-05-02,17
2015-05-09,73
2015-05-16,41
2015-05-23,24
2015-05-30,17
2015-06-06,25
2015-06-13,16
2015-06-20,33
2015-06-27,41
2015-07-04,41
2015-07-11,17
2015-07-18,8
2015-07-25,34
2015-08-01,49
2015-08-08,41
2015-08-15,74
2015-08-22,99
2015-08-29,50
2015-09-05,24
2015-09-12,41
2015-09-19,69
2015-09-26,76
2015-10-03,68
2015-10-10,77
2015-10-17,112
2015-10-24,93
2015-10-31,61
2015-11-07,86
2015-11-14,77
2015-11-21,82
2015-11-28,66
2015-12-05,92
2015-12-12,76
2015-12-19,101
2015-12-26,85
2016-01-02,84
2016-01-09,67
2016-01-16,101
2016-01-23,95
2016-01-30,33
2016-02-06,24
2016-02-13,25
2016-02-20,49
2016-02-27,95
2016-03-05,58
2016-03-12,67
2016-03-19,49
2016-03-26,41
2016-04-02,24
2016-04-09,16
2016-04-16,41
2016-04-23,41
2016-04-30,24
2016-05-07,16
2016-05-14,41
2016-05-21,41
2016-05-28,49
2016-06-04,41
2016-06-11,33
2016-06-18,8
2016-06-25,33
2016-07-02,25
2016-07-09,33
2016-07-16,41
2016-07-23,41
2016-07-30,16
2016-08-06,33
2016-08-13,24
2016-08-20,16
2016-08-27,33
2016-09-03,8
2016-09-10,16
2016-09-17,41
2016-09-24,26
