日期,胡润
2011-01-01,88
2011-01-08,72
2011-01-15,68
2011-01-22,129
2011-01-29,68
2011-02-05,67
2011-02-12,66
2011-02-19,69
2011-02-26,66
2011-03-05,68
2011-03-12,75
2011-03-19,67
2011-03-26,76
2011-04-02,86
2011-04-09,66
2011-04-16,113
2011-04-23,85
2011-04-30,68
2011-05-07,66
2011-05-14,73
2011-05-21,80
2011-05-28,71
2011-06-04,94
2011-06-11,69
2011-06-18,65
2011-06-25,68
2011-07-02,64
2011-07-09,68
2011-07-16,83
2011-07-23,80
2011-07-30,70
2011-08-06,67
2011-08-13,68
2011-08-20,64
2011-08-27,70
2011-09-03,66
2011-09-10,160
2011-09-17,79
2011-09-24,149
2011-10-01,90
2011-10-08,74
2011-10-15,76
2011-10-22,69
2011-10-29,58
2011-11-05,83
2011-11-12,142
2011-11-19,243
2011-11-26,79
2011-12-03,73
2011-12-10,67
2011-12-17,66
2011-12-24,64
2011-12-31,69
2012-01-07,66
2012-01-14,111
2012-01-21,76
2012-01-28,71
2012-02-04,68
2012-02-11,68
2012-02-18,66
2012-02-25,68
2012-03-03,71
2012-03-10,148
2012-03-17,78
2012-03-24,63
2012-03-31,88
2012-04-07,68
2012-04-14,84
2012-04-21,71
2012-04-28,66
2012-05-05,64
2012-05-12,71
2012-05-19,71
2012-05-26,87
2012-06-02,71
2012-06-09,68
2012-06-16,67
2012-06-23,66
2012-06-30,70
2012-07-07,65
2012-07-14,92
2012-07-21,72
2012-07-28,78
2012-08-04,83
2012-08-11,71
2012-08-18,70
2012-08-25,68
2012-09-01,76
2012-09-08,84
2012-09-15,81
2012-09-22,64
2012-09-29,128
2012-10-06,70
2012-10-13,95
2012-10-20,81
2012-10-27,79
2012-11-03,77
2012-11-10,73
2012-11-17,68
2012-11-24,71
2012-12-01,67
2012-12-08,61
2012-12-15,65
2012-12-22,64
2012-12-29,61
2013-01-05,62
2013-01-12,68
2013-01-19,67
2013-01-26,67
2013-02-02,66
2013-02-09,65
2013-02-16,62
2013-02-23,64
2013-03-02,120
2013-03-09,83
2013-03-16,72
2013-03-23,70
2013-03-30,66
2013-04-06,66
2013-04-13,72
2013-04-20,78
2013-04-27,72
2013-05-04,64
2013-05-11,69
2013-05-18,66
2013-05-25,68
2013-06-01,68
2013-06-08,67
2013-06-15,66
2013-06-22,63
2013-06-29,64
2013-07-06,131
2013-07-13,138
2013-07-20,207
2013-07-27,172
2013-08-03,175
2013-08-10,146
2013-08-17,169
2013-08-24,276
2013-08-31,152
2013-09-07,135
2013-09-14,288
2013-09-21,223
2013-09-28,185
2013-10-05,143
2013-10-12,187
2013-10-19,230
2013-10-26,277
2013-11-02,231
2013-11-09,230
2013-11-16,223
2013-11-23,187
2013-11-30,141
2013-12-07,153
2013-12-14,142
2013-12-21,144
2013-12-28,138
2014-01-04,136
2014-01-11,181
2014-01-18,188
2014-01-25,146
2014-02-01,223
2014-02-08,144
2014-02-15,166
2014-02-22,168
2014-03-01,389
2014-03-08,195
2014-03-15,178
2014-03-22,172
2014-03-29,162
2014-04-05,155
2014-04-12,188
2014-04-19,252
2014-04-26,227
2014-05-03,145
2014-05-10,177
2014-05-17,204
2014-05-24,219
2014-05-31,170
2014-06-07,202
2014-06-14,201
2014-06-21,227
2014-06-28,301
2014-07-05,250
2014-07-12,275
2014-07-19,263
2014-07-26,271
2014-08-02,292
2014-08-09,263
2014-08-16,251
2014-08-23,269
2014-08-30,311
2014-09-06,228
2014-09-13,253
2014-09-20,278
2014-09-27,434
2014-10-04,237
2014-10-11,252
2014-10-18,229
2014-10-25,370
2014-11-01,291
2014-11-08,281
2014-11-15,226
2014-11-22,232
2014-11-29,280
2014-12-06,214
2014-12-13,212
2014-12-20,211
2014-12-27,231
2015-01-03,197
2015-01-10,186
2015-01-17,168
2015-01-24,172
2015-01-31,192
2015-02-07,299
2015-02-14,166
2015-02-21,137
2015-02-28,152
2015-03-07,165
2015-03-14,161
2015-03-21,172
2015-03-28,151
2015-04-04,183
2015-04-11,152
2015-04-18,169
2015-04-25,157
2015-05-02,157
2015-05-09,338
2015-05-16,174
2015-05-23,170
2015-05-30,172
2015-06-06,151
2015-06-13,188
2015-06-20,162
2015-06-27,156
2015-07-04,147
2015-07-11,180
2015-07-18,170
2015-07-25,232
2015-08-01,180
2015-08-08,162
2015-08-15,205
2015-08-22,450
2015-08-29,269
2015-09-05,155
2015-09-12,175
2015-09-19,238
2015-09-26,259
2015-10-03,234
2015-10-10,238
2015-10-17,376
2015-10-24,298
2015-10-31,227
2015-11-07,240
2015-11-14,242
2015-11-21,223
2015-11-28,215
2015-12-05,247
2015-12-12,216
2015-12-19,302
2015-12-26,253
2016-01-02,227
2016-01-09,228
2016-01-16,236
2016-01-23,237
2016-01-30,199
2016-02-06,169
2016-02-13,181
2016-02-20,177
2016-02-27,286
2016-03-05,269
2016-03-12,226
2016-03-19,240
2016-03-26,187
2016-04-02,160
2016-04-09,154
2016-04-16,150
2016-04-23,166
2016-04-30,158
2016-05-07,172
2016-05-14,158
2016-05-21,165
2016-05-28,158
2016-06-04,162
2016-06-11,157
2016-06-18,153
2016-06-25,152
2016-07-02,154
2016-07-09,177
2016-07-16,220
2016-07-23,166
2016-07-30,147
2016-08-06,150
2016-08-13,139
2016-08-20,151
2016-08-27,144
2016-09-03,166
2016-09-10,149
2016-09-17,140
2016-09-24,157
2016-10-01,144
2016-10-08,119
2016-10-15,248
2016-10-22,187
2016-10-29,183
2016-11-05,190
2016-11-12,135
2016-11-19,154
2016-11-26,143
2016-12-03,150
2016-12-10,151
2016-12-17,171
2016-12-24,159
2016-12-31,150
2017-01-07,162
2017-01-14,150
2017-01-21,141
2017-01-28,135
2017-02-04,141
2017-02-11,144
2017-02-18,150
2017-02-25,155
2017-03-04,170
2017-03-11,242
2017-03-18,169
2017-03-25,158
2017-04-01,155
2017-04-08,144
2017-04-15,151
2017-04-22,176
2017-04-29,139
2017-05-06,148
2017-05-13,147
2017-05-20,144
2017-05-27,148
2017-06-03,136
2017-06-10,144
2017-06-17,150
2017-06-24,150
2017-07-01,145
2017-07-08,166
2017-07-15,158
2017-07-22,157
2017-07-29,163
2017-08-05,151
2017-08-12,159
2017-08-19,148
2017-08-26,180
2017-09-02,150
2017-09-09,184
2017-09-16,149
2017-09-23,181
2017-09-30,150
2017-10-07,142
2017-10-14,460
2017-10-21,320
2017-10-28,229
2017-11-04,210
2017-11-11,195
2017-11-18,263
2017-11-25,180
2017-12-02,180
2017-12-09,167
2017-12-16,173
2017-12-23,162
2017-12-30,177
2018-01-06,171
2018-01-13,161
2018-01-20,179
2018-01-27,156
2018-02-03,151
2018-02-10,150
2018-02-17,144
2018-02-24,150
2018-03-03,313
2018-03-10,203
2018-03-17,173
2018-03-24,160
2018-03-31,155
2018-04-07,154
2018-04-14,160
2018-04-21,157
2018-04-28,151
2018-05-05,150
2018-05-12,148
2018-05-19,149
2018-05-26,155
2018-06-02,142
2018-06-09,146
2018-06-16,140
2018-06-23,142
2018-06-30,140
2018-07-07,142
2018-07-14,149
2018-07-21,154
2018-07-28,158
2018-08-04,152
2018-08-11,150
2018-08-18,144
2018-08-25,140
2018-09-01,152
2018-09-08,146
2018-09-15,145
2018-09-22,129
2018-09-29,142
2018-10-06,125
2018-10-13,292
2018-10-20,181
2018-10-27,286
2018-11-03,178
2018-11-10,188
2018-11-17,152
2018-11-24,172
2018-12-01,153
2018-12-08,157
2018-12-15,154
2018-12-22,167
2018-12-29,148
2019-01-05,165
2019-01-12,164
2019-01-19,151
2019-01-26,154
2019-02-02,147
2019-02-09,132
2019-02-16,153
2019-02-23,147
2019-03-02,228
2019-03-09,176
2019-03-16,159
2019-03-23,152
2019-03-30,153
2019-04-06,146
2019-04-13,139
2019-04-20,144
2019-04-27,144
2019-05-04,135
2019-05-11,146
2019-05-18,137
2019-05-25,166
2019-06-01,174
