日期,胡润
2011-01-01,103
2011-01-08,85
2011-01-15,81
2011-01-22,135
2011-01-29,80
2011-02-05,69
2011-02-12,75
2011-02-19,70
2011-02-26,71
2011-03-05,71
2011-03-12,81
2011-03-19,75
2011-03-26,78
2011-04-02,78
2011-04-09,76
2011-04-16,124
2011-04-23,106
2011-04-30,80
2011-05-07,80
2011-05-14,80
2011-05-21,88
2011-05-28,74
2011-06-04,105
2011-06-11,69
2011-06-18,86
2011-06-25,72
2011-07-02,69
2011-07-09,84
2011-07-16,99
2011-07-23,82
2011-07-30,65
2011-08-06,69
2011-08-13,71
2011-08-20,72
2011-08-27,75
2011-09-03,71
2011-09-10,192
2011-09-17,95
2011-09-24,149
2011-10-01,102
2011-10-08,81
2011-10-15,90
2011-10-22,81
2011-10-29,72
2011-11-05,93
2011-11-12,72
2011-11-19,97
2011-11-26,74
2011-12-03,74
2011-12-10,71
2011-12-17,72
2011-12-24,74
2011-12-31,72
2012-01-07,64
2012-01-14,130
2012-01-21,83
2012-01-28,67
2012-02-04,67
2012-02-11,73
2012-02-18,69
2012-02-25,72
2012-03-03,74
2012-03-10,192
2012-03-17,81
2012-03-24,74
2012-03-31,102
2012-04-07,72
2012-04-14,90
2012-04-21,72
2012-04-28,70
2012-05-05,69
2012-05-12,76
2012-05-19,78
2012-05-26,107
2012-06-02,131
2012-06-09,78
2012-06-16,76
2012-06-23,70
2012-06-30,110
2012-07-07,88
2012-07-14,101
2012-07-21,85
2012-07-28,98
2012-08-04,88
2012-08-11,78
2012-08-18,72
2012-08-25,72
2012-09-01,71
2012-09-08,71
2012-09-15,69
2012-09-22,68
2012-09-29,168
2012-10-06,72
2012-10-13,107
2012-10-20,91
2012-10-27,76
2012-11-03,81
2012-11-10,78
2012-11-17,68
2012-11-24,75
2012-12-01,68
2012-12-08,66
2012-12-15,65
2012-12-22,65
2012-12-29,72
2013-01-05,65
2013-01-12,70
2013-01-19,71
2013-01-26,68
2013-02-02,68
