日期,胡润
2011-01-01,104
2011-01-08,75
2011-01-15,62
2011-01-22,119
2011-01-29,67
2011-02-05,63
2011-02-12,67
2011-02-19,68
2011-02-26,62
2011-03-05,64
2011-03-12,72
2011-03-19,67
2011-03-26,70
2011-04-02,65
2011-04-09,65
2011-04-16,101
2011-04-23,77
2011-04-30,73
2011-05-07,66
2011-05-14,75
2011-05-21,85
2011-05-28,66
2011-06-04,90
2011-06-11,65
2011-06-18,75
2011-06-25,65
2011-07-02,64
2011-07-09,73
2011-07-16,79
2011-07-23,69
2011-07-30,68
2011-08-06,65
2011-08-13,70
2011-08-20,63
2011-08-27,67
2011-09-03,62
2011-09-10,144
2011-09-17,78
2011-09-24,137
2011-10-01,94
2011-10-08,67
2011-10-15,76
2011-10-22,70
2011-10-29,64
2011-11-05,76
2011-11-12,66
2011-11-19,86
2011-11-26,67
2011-12-03,67
2011-12-10,62
2011-12-17,66
2011-12-24,65
2011-12-31,68
2012-01-07,64
2012-01-14,101
2012-01-21,75
2012-01-28,56
2012-02-04,62
2012-02-11,67
2012-02-18,68
2012-02-25,67
2012-03-03,64
2012-03-10,146
2012-03-17,77
2012-03-24,69
2012-03-31,86
2012-04-07,69
2012-04-14,79
2012-04-21,64
2012-04-28,67
2012-05-05,66
2012-05-12,65
2012-05-19,69
2012-05-26,81
2012-06-02,71
2012-06-09,67
2012-06-16,64
2012-06-23,68
2012-06-30,68
2012-07-07,63
2012-07-14,80
2012-07-21,67
2012-07-28,76
2012-08-04,93
2012-08-11,72
2012-08-18,67
2012-08-25,66
2012-09-01,68
2012-09-08,67
2012-09-15,67
2012-09-22,65
2012-09-29,120
2012-10-06,73
2012-10-13,149
2012-10-20,109
2012-10-27,72
2012-11-03,77
2012-11-10,74
2012-11-17,63
2012-11-24,71
2012-12-01,56
2012-12-08,64
2012-12-15,64
2012-12-22,64
2012-12-29,64
2013-01-05,64
2013-01-12,65
2013-01-19,63
2013-01-26,57
2013-02-02,54
2013-02-09,59
2013-02-16,52
2013-02-23,66
2013-03-02,123
2013-03-09,80
2013-03-16,72
2013-03-23,64
2013-03-30,65
2013-04-06,61
2013-04-13,69
2013-04-20,73
2013-04-27,70
2013-05-04,69
2013-05-11,60
2013-05-18,65
2013-05-25,65
2013-06-01,56
2013-06-08,70
2013-06-15,62
2013-06-22,63
2013-06-29,62
2013-07-06,131
2013-07-13,130
2013-07-20,128
2013-07-27,153
2013-08-03,171
2013-08-10,129
2013-08-17,178
2013-08-24,267
2013-08-31,138
2013-09-07,133
2013-09-14,305
2013-09-21,222
2013-09-28,194
2013-10-05,159
2013-10-12,279
2013-10-19,399
2013-10-26,190
2013-11-02,178
2013-11-09,178
2013-11-16,176
2013-11-23,166
2013-11-30,142
2013-12-07,147
2013-12-14,135
2013-12-21,137
2013-12-28,129
2014-01-04,133
2014-01-11,168
2014-01-18,170
2014-01-25,139
2014-02-01,235
2014-02-08,144
2014-02-15,160
2014-02-22,153
2014-03-01,308
2014-03-08,178
2014-03-15,167
2014-03-22,150
2014-03-29,143
2014-04-05,149
2014-04-12,178
2014-04-19,220
