日期,胡润
2011-01-01,58
2011-01-08,42
2011-01-15,33
2011-01-22,45
2011-01-29,24
2011-02-05,25
2011-02-12,33
2011-02-19,41
2011-02-26,8
2011-03-05,24
2011-03-12,25
2011-03-19,25
2011-03-26,16
2011-04-02,52
2011-04-09,34
2011-04-16,55
2011-04-23,42
2011-04-30,33
2011-05-07,33
2011-05-14,17
2011-05-21,34
2011-05-28,51
2011-06-04,53
2011-06-11,25
2011-06-18,34
2011-06-25,25
2011-07-02,50
2011-07-09,41
2011-07-16,42
2011-07-23,8
2011-07-30,17
2011-08-06,25
2011-08-13,34
2011-08-20,0
2011-08-27,8
2011-09-03,8
2011-09-10,47
2011-09-17,34
2011-09-24,55
2011-10-01,59
2011-10-08,34
2011-10-15,42
2011-10-22,25
2011-10-29,51
2011-11-05,33
2011-11-12,25
2011-11-19,42
2011-11-26,26
2011-12-03,33
2011-12-10,16
2011-12-17,8
2011-12-24,17
2011-12-31,33
2012-01-07,17
2012-01-14,26
2012-01-21,33
2012-01-28,8
2012-02-04,0
2012-02-11,25
2012-02-18,17
2012-02-25,25
2012-03-03,33
2012-03-10,47
2012-03-17,33
2012-03-24,17
2012-03-31,42
2012-04-07,33
2012-04-14,43
2012-04-21,16
2012-04-28,41
2012-05-05,17
2012-05-12,9
2012-05-19,25
2012-05-26,42
2012-06-02,50
2012-06-09,24
2012-06-16,33
2012-06-23,17
2012-06-30,24
2012-07-07,33
2012-07-14,33
2012-07-21,33
2012-07-28,33
2012-08-04,42
2012-08-11,33
2012-08-18,17
2012-08-25,41
2012-09-01,16
2012-09-08,24
2012-09-15,17
2012-09-22,16
2012-09-29,36
2012-10-06,17
2012-10-13,25
2012-10-20,16
2012-10-27,24
2012-11-03,16
2012-11-10,42
2012-11-17,33
2012-11-24,25
2012-12-01,25
2012-12-08,8
2012-12-15,8
2012-12-22,8
2012-12-29,0
2013-01-05,33
2013-01-12,8
2013-01-19,17
2013-01-26,33
2013-02-02,16
2013-02-09,17
2013-02-16,0
2013-02-23,33
2013-03-02,46
2013-03-09,26
2013-03-16,50
2013-03-23,33
2013-03-30,58
2013-04-06,8
2013-04-13,25
2013-04-20,42
2013-04-27,50
2013-05-04,33
2013-05-11,17
2013-05-18,25
2013-05-25,33
2013-06-01,16
2013-06-08,33
2013-06-15,24
2013-06-22,25
2013-06-29,0
2013-07-06,34
2013-07-13,50
2013-07-20,42
2013-07-27,58
2013-08-03,76
2013-08-10,41
2013-08-17,85
2013-08-24,104
2013-08-31,74
2013-09-07,50
2013-09-14,111
2013-09-21,71
2013-09-28,59
2013-10-05,66
2013-10-12,103
2013-10-19,105
2013-10-26,103
2013-11-02,86
2013-11-09,89
2013-11-16,93
2013-11-23,68
2013-11-30,49
2013-12-07,58
2013-12-14,58
