日期,胡润
2011-01-01,76
2011-01-08,67
2011-01-15,64
2011-01-22,85
2011-01-29,64
2011-02-05,60
2011-02-12,53
2011-02-19,62
2011-02-26,66
2011-03-05,63
2011-03-12,69
2011-03-19,64
2011-03-26,62
2011-04-02,62
2011-04-09,54
2011-04-16,86
2011-04-23,65
2011-04-30,63
2011-05-07,62
2011-05-14,65
2011-05-21,68
2011-05-28,54
2011-06-04,72
2011-06-11,61
2011-06-18,67
2011-06-25,51
2011-07-02,62
2011-07-09,64
2011-07-16,85
2011-07-23,61
2011-07-30,52
2011-08-06,52
2011-08-13,51
2011-08-20,60
2011-08-27,61
2011-09-03,61
2011-09-10,116
2011-09-17,75
2011-09-24,109
2011-10-01,73
2011-10-08,66
2011-10-15,76
2011-10-22,63
2011-10-29,63
2011-11-05,72
2011-11-12,63
2011-11-19,71
2011-11-26,62
2011-12-03,61
2011-12-10,63
2011-12-17,58
2011-12-24,61
2011-12-31,62
2012-01-07,60
2012-01-14,82
2012-01-21,68
2012-01-28,52
2012-02-04,62
2012-02-11,61
2012-02-18,51
2012-02-25,52
2012-03-03,58
2012-03-10,107
2012-03-17,68
2012-03-24,61
2012-03-31,75
2012-04-07,64
2012-04-14,73
2012-04-21,71
2012-04-28,45
2012-05-05,53
2012-05-12,64
2012-05-19,67
2012-05-26,72
2012-06-02,68
2012-06-09,62
2012-06-16,52
2012-06-23,62
2012-06-30,53
2012-07-07,60
2012-07-14,74
2012-07-21,63
2012-07-28,65
2012-08-04,69
2012-08-11,63
2012-08-18,55
2012-08-25,62
2012-09-01,63
2012-09-08,62
2012-09-15,60
2012-09-22,53
2012-09-29,98
2012-10-06,64
2012-10-13,73
2012-10-20,66
2012-10-27,64
2012-11-03,63
2012-11-10,64
2012-11-17,64
2012-11-24,67
2012-12-01,65
2012-12-08,60
2012-12-15,54
2012-12-22,44
2012-12-29,60
2013-01-05,49
2013-01-12,52
2013-01-19,44
2013-01-26,50
2013-02-02,50
2013-02-09,50
2013-02-16,42
2013-02-23,43
2013-03-02,78
2013-03-09,67
2013-03-16,67
2013-03-23,62
2013-03-30,60
2013-04-06,50
2013-04-13,64
2013-04-20,65
2013-04-27,52
2013-05-04,52
2013-05-11,53
2013-05-18,52
2013-05-25,61
2013-06-01,58
2013-06-08,63
2013-06-15,60
2013-06-22,58
2013-06-29,52
2013-07-06,93
2013-07-13,109
2013-07-20,113
2013-07-27,126
2013-08-03,127
2013-08-10,95
2013-08-17,118
2013-08-24,245
2013-08-31,123
2013-09-07,115
2013-09-14,195
2013-09-21,159
2013-09-28,140
2013-10-05,117
2013-10-12,148
2013-10-19,164
2013-10-26,163
2013-11-02,152
2013-11-09,163
2013-11-16,149
2013-11-23,134
2013-11-30,114
2013-12-07,111
2013-12-14,106
2013-12-21,104
2013-12-28,116
2014-01-04,105
2014-01-11,143
2014-01-18,143
2014-01-25,127
2014-02-01,168
2014-02-08,127
2014-02-15,126
2014-02-22,123
2014-03-01,247
2014-03-08,141
2014-03-15,143
2014-03-22,136
2014-03-29,132
2014-04-05,130
2014-04-12,130
2014-04-19,164
2014-04-26,159
2014-05-03,120
2014-05-10,147
2014-05-17,149
2014-05-24,153
2014-05-31,134
2014-06-07,145
2014-06-14,147
2014-06-21,149
2014-06-28,182
2014-07-05,175
2014-07-12,172
2014-07-19,174
2014-07-26,190
2014-08-02,201
2014-08-09,203
2014-08-16,195
