日期,胡润
2011-01-01,31
2011-01-08,34
2011-01-15,51
2011-01-22,57
2011-01-29,41
2011-02-05,17
2011-02-12,16
2011-02-19,34
2011-02-26,41
2011-03-05,16
2011-03-12,34
2011-03-19,8
2011-03-26,43
2011-04-02,50
2011-04-09,26
2011-04-16,48
2011-04-23,35
2011-04-30,33
2011-05-07,17
2011-05-14,50
2011-05-21,42
2011-05-28,33
2011-06-04,35
2011-06-11,16
2011-06-18,33
2011-06-25,41
2011-07-02,16
2011-07-09,33
2011-07-16,25
2011-07-23,33
2011-07-30,33
2011-08-06,33
2011-08-13,17
2011-08-20,41
2011-08-27,41
2011-09-03,16
2011-09-10,59
2011-09-17,27
2011-09-24,64
2011-10-01,54
2011-10-08,51
2011-10-15,43
2011-10-22,34
2011-10-29,8
2011-11-05,42
2011-11-12,33
2011-11-19,52
2011-11-26,33
2011-12-03,33
2011-12-10,25
2011-12-17,17
2011-12-24,43
2011-12-31,41
2012-01-07,43
2012-01-14,54
2012-01-21,53
2012-01-28,0
2012-02-04,42
2012-02-11,41
2012-02-18,17
2012-02-25,35
2012-03-03,17
2012-03-10,69
2012-03-17,33
2012-03-24,42
2012-03-31,46
2012-04-07,33
2012-04-14,49
2012-04-21,34
2012-04-28,16
2012-05-05,42
2012-05-12,16
2012-05-19,33
2012-05-26,50
2012-06-02,34
2012-06-09,41
2012-06-16,16
2012-06-23,42
2012-06-30,42
2012-07-07,33
2012-07-14,42
2012-07-21,50
2012-07-28,51
2012-08-04,41
2012-08-11,34
2012-08-18,53
2012-08-25,17
2012-09-01,25
2012-09-08,24
2012-09-15,17
2012-09-22,0
2012-09-29,49
2012-10-06,33
2012-10-13,61
2012-10-20,41
2012-10-27,42
2012-11-03,41
2012-11-10,41
2012-11-17,34
2012-11-24,41
2012-12-01,33
2012-12-08,25
2012-12-15,9
2012-12-22,8
2012-12-29,33
2013-01-05,16
2013-01-12,25
2013-01-19,33
2013-01-26,16
2013-02-02,24
2013-02-09,8
2013-02-16,33
2013-02-23,16
2013-03-02,40
2013-03-09,60
2013-03-16,43
2013-03-23,33
2013-03-30,25
2013-04-06,24
2013-04-13,51
2013-04-20,34
2013-04-27,41
2013-05-04,41
2013-05-11,60
2013-05-18,50
2013-05-25,25
2013-06-01,8
2013-06-08,43
2013-06-15,25
2013-06-22,17
2013-06-29,51
2013-07-06,59
2013-07-13,84
2013-07-20,100
2013-07-27,76
2013-08-03,89
2013-08-10,43
2013-08-17,92
2013-08-24,188
2013-08-31,92
2013-09-07,74
2013-09-14,127
2013-09-21,118
2013-09-28,96
2013-10-05,84
2013-10-12,107
2013-10-19,127
2013-10-26,109
2013-11-02,103
2013-11-09,111
2013-11-16,81
2013-11-23,102
2013-11-30,58
2013-12-07,85
2013-12-14,85
2013-12-21,67
2013-12-28,75
2014-01-04,83
2014-01-11,95
2014-01-18,114
2014-01-25,77
2014-02-01,101
2014-02-08,75
2014-02-15,84
2014-02-22,103
2014-03-01,143
2014-03-08,112
2014-03-15,111
2014-03-22,87
2014-03-29,59
2014-04-05,83
2014-04-12,86
2014-04-19,112
2014-04-26,93
2014-05-03,58
2014-05-10,101
2014-05-17,114
2014-05-24,106
2014-05-31,89
2014-06-07,104
2014-06-14,98
2014-06-21,92
2014-06-28,113
2014-07-05,105
2014-07-12,112
2014-07-19,111
2014-07-26,110
2014-08-02,128
2014-08-09,101
2014-08-16,123
2014-08-23,118
2014-08-30,130
2014-09-06,107
2014-09-13,136
2014-09-20,131
2014-09-27,157
2014-10-04,126
2014-10-11,102
2014-10-18,81
2014-10-25,149
2014-11-01,138
2014-11-08,133
2014-11-15,126
2014-11-22,111
2014-11-29,134
2014-12-06,112
2014-12-13,117
2014-12-20,110
2014-12-27,131
2015-01-03,121
2015-01-10,113
2015-01-17,85
2015-01-24,113
2015-01-31,127
2015-02-07,154
2015-02-14,107
2015-02-21,77
2015-02-28,84
2015-03-07,112
2015-03-14,94
2015-03-21,105
2015-03-28,102
2015-04-04,115
2015-04-11,114
2015-04-18,97
2015-04-25,112
2015-05-02,102
2015-05-09,144
2015-05-16,105
2015-05-23,102
2015-05-30,86
2015-06-06,86
2015-06-13,111
2015-06-20,93
2015-06-27,84
2015-07-04,77
2015-07-11,115
2015-07-18,94
2015-07-25,113
2015-08-01,122
2015-08-08,102
2015-08-15,92
2015-08-22,167
2015-08-29,121
2015-09-05,110
2015-09-12,116
2015-09-19,134
2015-09-26,141
2015-10-03,140
2015-10-10,142
2015-10-17,172
2015-10-24,159
2015-10-31,134
2015-11-07,135
2015-11-14,135
2015-11-21,134
2015-11-28,131
2015-12-05,144
2015-12-12,133
2015-12-19,161
2015-12-26,135
2016-01-02,137
2016-01-09,126
2016-01-16,135
2016-01-23,137
2016-01-30,126
2016-02-06,95
2016-02-13,104
2016-02-20,104
2016-02-27,140
2016-03-05,139
2016-03-12,117
2016-03-19,122
2016-03-26,126
2016-04-02,98
2016-04-09,102
2016-04-16,89
2016-04-23,105
2016-04-30,120
2016-05-07,123
2016-05-14,117
2016-05-21,113
2016-05-28,107
2016-06-04,122
2016-06-11,86
2016-06-18,85
2016-06-25,84
2016-07-02,103
2016-07-09,104
2016-07-16,100
2016-07-23,93
2016-07-30,86
2016-08-06,83
2016-08-13,84
2016-08-20,95
2016-08-27,107
2016-09-03,114
2016-09-10,93
2016-09-17,118
2016-09-24,95
2016-10-01,60
2016-10-08,102
2016-10-15,105
2016-10-22,124
2016-10-29,118
2016-11-05,110
2016-11-12,80
2016-11-19,110
2016-11-26,75
2016-12-03,76
2016-12-10,106
2016-12-17,106
2016-12-24,95
2016-12-31,88
2017-01-07,86
2017-01-14,91
2017-01-21,101
2017-01-28,42
2017-02-04,91
2017-02-11,69
2017-02-18,108
2017-02-25,107
2017-03-04,116
2017-03-11,122
2017-03-18,108
2017-03-25,108
2017-04-01,85
2017-04-08,94
2017-04-15,97
2017-04-22,93
2017-04-29,84
2017-05-06,101
2017-05-13,94
2017-05-20,84
2017-05-27,69
2017-06-03,92
2017-06-10,84
2017-06-17,94
2017-06-24,96
2017-07-01,111
2017-07-08,124
2017-07-15,112
2017-07-22,113
2017-07-29,103
2017-08-05,104
2017-08-12,94
2017-08-19,77
2017-08-26,110
2017-09-02,103
2017-09-09,121
2017-09-16,94
2017-09-23,119
2017-09-30,96
2017-10-07,86
2017-10-14,182
2017-10-21,154
2017-10-28,111
2017-11-04,113
2017-11-11,125
2017-11-18,106
2017-11-25,103
2017-12-02,106
2017-12-09,108
2017-12-16,121
2017-12-23,103
2017-12-30,82
2018-01-06,106
2018-01-13,103
2018-01-20,113
2018-01-27,112
2018-02-03,82
2018-02-10,101
2018-02-17,110
2018-02-24,95
2018-03-03,126
2018-03-10,111
2018-03-17,106
2018-03-24,111
2018-03-31,88
2018-04-07,104
2018-04-14,79
2018-04-21,107
2018-04-28,115
2018-05-05,81
2018-05-12,103
2018-05-19,60
2018-05-26,85
2018-06-02,94
2018-06-09,101
2018-06-16,86
2018-06-23,77
2018-06-30,93
2018-07-07,94
2018-07-14,61
2018-07-21,111
2018-07-28,93
2018-08-04,104
2018-08-11,77
2018-08-18,75
2018-08-25,75
2018-09-01,78
2018-09-08,92
2018-09-15,51
2018-09-22,82
2018-09-29,58
2018-10-06,76
2018-10-13,128
2018-10-20,120
2018-10-27,132
2018-11-03,114
2018-11-10,85
2018-11-17,78
2018-11-24,106
2018-12-01,87
2018-12-08,94
2018-12-15,90
2018-12-22,88
2018-12-29,100
2019-01-05,79
2019-01-12,107
2019-01-19,110
2019-01-26,107
2019-02-02,78
2019-02-09,60
2019-02-16,97
2019-02-23,94
2019-03-02,129
2019-03-09,118
2019-03-16,86
2019-03-23,86
2019-03-30,94
2019-04-06,101
2019-04-13,58
2019-04-20,26
2019-04-27,77
2019-05-04,74
2019-05-11,74
2019-05-18,83
2019-05-25,93
2019-06-01,95
2019-06-08,76
2019-06-15,76
2019-06-22,91
2019-06-29,75
2019-07-06,108
2019-07-13,76
2019-07-20,58
2019-07-27,75
2019-08-03,59
