日期,胡润
2011-01-01,59
2011-01-08,36
2011-01-15,50
2011-01-22,56
2011-01-29,26
2011-02-05,34
2011-02-12,58
2011-02-19,51
2011-02-26,42
2011-03-05,51
2011-03-12,43
2011-03-19,34
2011-03-26,60
2011-04-02,52
2011-04-09,63
2011-04-16,75
2011-04-23,63
2011-04-30,43
2011-05-07,52
2011-05-14,52
2011-05-21,52
2011-05-28,60
2011-06-04,66
2011-06-11,51
2011-06-18,61
2011-06-25,34
2011-07-02,58
2011-07-09,42
2011-07-16,62
2011-07-23,42
2011-07-30,50
2011-08-06,33
2011-08-13,24
2011-08-20,41
2011-08-27,54
2011-09-03,60
2011-09-10,90
2011-09-17,60
2011-09-24,75
2011-10-01,65
2011-10-08,52
2011-10-15,63
2011-10-22,59
2011-10-29,61
2011-11-05,61
2011-11-12,42
2011-11-19,52
2011-11-26,52
2011-12-03,53
2011-12-10,51
2011-12-17,50
2011-12-24,51
2011-12-31,42
2012-01-07,33
2012-01-14,70
2012-01-21,55
2012-01-28,33
2012-02-04,51
2012-02-11,42
2012-02-18,51
2012-02-25,42
2012-03-03,42
2012-03-10,77
2012-03-17,51
2012-03-24,41
2012-03-31,66
2012-04-07,51
2012-04-14,67
2012-04-21,55
2012-04-28,52
2012-05-05,60
2012-05-12,52
2012-05-19,51
2012-05-26,68
2012-06-02,65
2012-06-09,60
2012-06-16,59
2012-06-23,58
2012-06-30,51
2012-07-07,51
2012-07-14,62
2012-07-21,61
2012-07-28,64
2012-08-04,56
2012-08-11,61
2012-08-18,43
2012-08-25,35
2012-09-01,34
2012-09-08,51
2012-09-15,50
2012-09-22,33
2012-09-29,72
2012-10-06,42
2012-10-13,66
2012-10-20,58
2012-10-27,50
2012-11-03,42
2012-11-10,61
2012-11-17,33
2012-11-24,42
2012-12-01,59
2012-12-08,33
2012-12-15,33
2012-12-22,17
2012-12-29,33
2013-01-05,24
2013-01-12,41
2013-01-19,35
2013-01-26,42
2013-02-02,26
2013-02-09,16
2013-02-16,33
2013-02-23,49
2013-03-02,64
2013-03-09,61
2013-03-16,51
2013-03-23,50
2013-03-30,59
2013-04-06,41
