日期,胡润
2011-01-01,71
2011-01-08,62
2011-01-15,52
2011-01-22,76
2011-01-29,60
2011-02-05,36
2011-02-12,53
2011-02-19,60
2011-02-26,52
2011-03-05,50
2011-03-12,63
2011-03-19,61
2011-03-26,33
2011-04-02,59
2011-04-09,53
2011-04-16,60
2011-04-23,63
2011-04-30,59
2011-05-07,43
2011-05-14,52
2011-05-21,56
2011-05-28,51
2011-06-04,66
2011-06-11,42
2011-06-18,63
2011-06-25,53
2011-07-02,44
2011-07-09,42
2011-07-16,62
2011-07-23,52
2011-07-30,50
2011-08-06,26
2011-08-13,43
2011-08-20,42
2011-08-27,60
2011-09-03,33
2011-09-10,79
2011-09-17,60
2011-09-24,81
2011-10-01,71
2011-10-08,63
2011-10-15,65
2011-10-22,61
2011-10-29,61
2011-11-05,63
2011-11-12,51
2011-11-19,66
2011-11-26,62
2011-12-03,53
2011-12-10,59
2011-12-17,51
2011-12-24,60
2011-12-31,52
2012-01-07,42
2012-01-14,71
2012-01-21,63
2012-01-28,51
2012-02-04,51
2012-02-11,60
2012-02-18,42
2012-02-25,60
2012-03-03,50
2012-03-10,84
2012-03-17,63
2012-03-24,51
2012-03-31,67
2012-04-07,50
2012-04-14,65
2012-04-21,42
2012-04-28,59
2012-05-05,49
2012-05-12,51
2012-05-19,60
2012-05-26,64
2012-06-02,63
2012-06-09,53
2012-06-16,44
2012-06-23,33
2012-06-30,50
2012-07-07,50
2012-07-14,65
2012-07-21,45
2012-07-28,62
2012-08-04,54
2012-08-11,61
2012-08-18,42
2012-08-25,51
2012-09-01,52
2012-09-08,53
2012-09-15,75
2012-09-22,51
2012-09-29,78
2012-10-06,51
2012-10-13,66
2012-10-20,65
2012-10-27,59
2012-11-03,61
2012-11-10,60
2012-11-17,33
2012-11-24,52
2012-12-01,51
2012-12-08,43
2012-12-15,50
2012-12-22,58
2012-12-29,42
2013-01-05,51
2013-01-12,51
2013-01-19,34
2013-01-26,26
2013-02-02,25
2013-02-09,25
2013-02-16,50
2013-02-23,42
2013-03-02,59
2013-03-09,64
2013-03-16,52
2013-03-23,52
2013-03-30,33
2013-04-06,34
2013-04-13,54
2013-04-20,62
2013-04-27,61
2013-05-04,42
2013-05-11,51
2013-05-18,50
2013-05-25,42
2013-06-01,51
2013-06-08,51
2013-06-15,33
2013-06-22,35
2013-06-29,26
2013-07-06,58
2013-07-13,68
2013-07-20,86
2013-07-27,86
2013-08-03,107
2013-08-10,76
2013-08-17,110
2013-08-24,160
2013-08-31,85
2013-09-07,49
2013-09-14,144
2013-09-21,128
2013-09-28,118
2013-10-05,93
2013-10-12,126
2013-10-19,130
2013-10-26,131
2013-11-02,114
2013-11-09,124
2013-11-16,116
2013-11-23,104
2013-11-30,84
2013-12-07,93
2013-12-14,109
2013-12-21,93
2013-12-28,85
2014-01-04,94
2014-01-11,114
2014-01-18,133
2014-01-25,97
2014-02-01,130
2014-02-08,114
2014-02-15,118
2014-02-22,109
2014-03-01,174
2014-03-08,128
2014-03-15,119
2014-03-22,119
2014-03-29,94
2014-04-05,97
2014-04-12,113
2014-04-19,144
2014-04-26,143
2014-05-03,105
2014-05-10,118
2014-05-17,126
2014-05-24,121
2014-05-31,103
2014-06-07,137
2014-06-14,128
2014-06-21,130
2014-06-28,166
2014-07-05,131
2014-07-12,136
2014-07-19,129
2014-07-26,128
