日期,胡润
2011-01-01,62
2011-01-08,33
2011-01-15,8
2011-01-22,52
2011-01-29,24
2011-02-05,17
2011-02-12,8
2011-02-19,16
2011-02-26,8
2011-03-05,33
2011-03-12,33
2011-03-19,9
2011-03-26,25
2011-04-02,41
2011-04-09,8
2011-04-16,54
2011-04-23,25
2011-04-30,49
2011-05-07,25
2011-05-14,41
2011-05-21,59
2011-05-28,26
2011-06-04,43
2011-06-11,33
2011-06-18,34
2011-06-25,17
2011-07-02,25
2011-07-09,16
2011-07-16,41
2011-07-23,33
2011-07-30,16
2011-08-06,25
2011-08-13,25
2011-08-20,25
2011-08-27,8
2011-09-03,17
2011-09-10,58
2011-09-17,43
2011-09-24,70
2011-10-01,44
2011-10-08,33
2011-10-15,33
2011-10-22,8
2011-10-29,17
2011-11-05,33
2011-11-12,41
2011-11-19,44
2011-11-26,33
2011-12-03,25
2011-12-10,33
2011-12-17,33
2011-12-24,25
2011-12-31,33
2012-01-07,8
2012-01-14,60
2012-01-21,33
2012-01-28,24
2012-02-04,0
2012-02-11,17
2012-02-18,8
2012-02-25,33
2012-03-03,24
2012-03-10,46
2012-03-17,33
2012-03-24,41
2012-03-31,35
2012-04-07,8
2012-04-14,42
2012-04-21,16
2012-04-28,17
2012-05-05,33
2012-05-12,33
2012-05-19,18
2012-05-26,59
2012-06-02,50
2012-06-09,16
2012-06-16,16
2012-06-23,8
2012-06-30,33
2012-07-07,8
2012-07-14,35
2012-07-21,25
2012-07-28,49
2012-08-04,25
2012-08-11,25
2012-08-18,49
2012-08-25,16
2012-09-01,16
2012-09-08,25
2012-09-15,25
2012-09-22,8
2012-09-29,51
2012-10-06,24
2012-10-13,42
2012-10-20,25
2012-10-27,25
2012-11-03,41
2012-11-10,33
2012-11-17,24
2012-11-24,25
2012-12-01,16
2012-12-08,24
2012-12-15,25
2012-12-22,25
2012-12-29,8
2013-01-05,16
2013-01-12,25
2013-01-19,49
2013-01-26,8
2013-02-02,24
2013-02-09,25
2013-02-16,42
2013-02-23,33
2013-03-02,55
2013-03-09,58
2013-03-16,25
2013-03-23,24
2013-03-30,41
2013-04-06,16
2013-04-13,33
2013-04-20,50
2013-04-27,43
2013-05-04,41
2013-05-11,17
2013-05-18,25
2013-05-25,33
2013-06-01,16
2013-06-08,42
2013-06-15,16
2013-06-22,24
2013-06-29,33
2013-07-06,42
2013-07-13,33
2013-07-20,57
2013-07-27,68
2013-08-03,87
2013-08-10,50
2013-08-17,111
2013-08-24,105
2013-08-31,83
2013-09-07,50
2013-09-14,119
2013-09-21,101
2013-09-28,86
2013-10-05,51
2013-10-12,86
2013-10-19,123
2013-10-26,93
2013-11-02,86
2013-11-09,88
2013-11-16,88
2013-11-23,76
2013-11-30,49
2013-12-07,75
2013-12-14,74
2013-12-21,49
2013-12-28,59
2014-01-04,58
2014-01-11,88
2014-01-18,111
2014-01-25,50
2014-02-01,108
2014-02-08,92
2014-02-15,92
2014-02-22,93
2014-03-01,132
2014-03-08,111
2014-03-15,120
2014-03-22,95
2014-03-29,77
2014-04-05,68
2014-04-12,96
2014-04-19,119
2014-04-26,111
2014-05-03,76
2014-05-10,139
2014-05-17,112
2014-05-24,79
2014-05-31,92
2014-06-07,80
2014-06-14,81
2014-06-21,77
2014-06-28,80
2014-07-05,99
2014-07-12,78
2014-07-19,96
2014-07-26,98
2014-08-02,85
2014-08-09,95
2014-08-16,127
2014-08-23,95
2014-08-30,129
2014-09-06,108
2014-09-13,100
2014-09-20,127
2014-09-27,136
2014-10-04,116
2014-10-11,109
2014-10-18,88
2014-10-25,132
2014-11-01,99
2014-11-08,122
2014-11-15,122
2014-11-22,123
2014-11-29,124
2014-12-06,113
2014-12-13,95
2014-12-20,98
2014-12-27,108
2015-01-03,88
2015-01-10,77
2015-01-17,50
2015-01-24,66
2015-01-31,76
2015-02-07,98
2015-02-14,59
2015-02-21,51
2015-02-28,51
2015-03-07,83
2015-03-14,84
2015-03-21,52
2015-03-28,58
2015-04-04,68
2015-04-11,76
2015-04-18,68
2015-04-25,50
2015-05-02,92
2015-05-09,113
2015-05-16,74
2015-05-23,93
2015-05-30,69
2015-06-06,77
2015-06-13,44
2015-06-20,93
2015-06-27,76
2015-07-04,67
2015-07-11,100
2015-07-18,86
2015-07-25,91
2015-08-01,68
2015-08-08,93
2015-08-15,104
2015-08-22,140
2015-08-29,108
2015-09-05,58
2015-09-12,76
2015-09-19,109
2015-09-26,119
2015-10-03,108
2015-10-10,111
2015-10-17,144
2015-10-24,141
2015-10-31,110
2015-11-07,123
2015-11-14,102
2015-11-21,89
2015-11-28,105
2015-12-05,115
2015-12-12,108
2015-12-19,122
2015-12-26,129
2016-01-02,125
2016-01-09,124
2016-01-16,125
2016-01-23,120
2016-01-30,101
2016-02-06,91
2016-02-13,83
2016-02-20,67
2016-02-27,118
2016-03-05,131
2016-03-12,126
2016-03-19,110
2016-03-26,86
2016-04-02,67
2016-04-09,59
2016-04-16,76
2016-04-23,58
2016-04-30,67
2016-05-07,76
2016-05-14,66
2016-05-21,94
2016-05-28,67
2016-06-04,85
2016-06-11,59
2016-06-18,66
2016-06-25,67
2016-07-02,58
2016-07-09,58
2016-07-16,68
2016-07-23,69
2016-07-30,59
2016-08-06,74
2016-08-13,67
2016-08-20,92
2016-08-27,74
2016-09-03,92
2016-09-10,58
2016-09-17,57
2016-09-24,59
2016-10-01,67
2016-10-08,41
2016-10-15,109
2016-10-22,84
2016-10-29,85
2016-11-05,60
2016-11-12,84
2016-11-19,83
