日期,胡润
2011-01-01,102
2011-01-08,86
2011-01-15,79
2011-01-22,137
2011-01-29,82
2011-02-05,73
2011-02-12,74
2011-02-19,74
2011-02-26,74
2011-03-05,81
2011-03-12,86
2011-03-19,72
2011-03-26,76
2011-04-02,83
2011-04-09,77
2011-04-16,141
2011-04-23,109
2011-04-30,81
2011-05-07,79
2011-05-14,87
2011-05-21,100
2011-05-28,81
2011-06-04,372
2011-06-11,71
2011-06-18,92
2011-06-25,76
2011-07-02,75
2011-07-09,79
2011-07-16,104
2011-07-23,86
2011-07-30,76
2011-08-06,81
2011-08-13,72
2011-08-20,71
2011-08-27,91
2011-09-03,79
2011-09-10,217
2011-09-17,97
2011-09-24,198
2011-10-01,122
2011-10-08,86
2011-10-15,97
2011-10-22,78
2011-10-29,80
2011-11-05,96
2011-11-12,83
2011-11-19,99
2011-11-26,84
2011-12-03,70
2011-12-10,71
2011-12-17,69
2011-12-24,78
2011-12-31,81
2012-01-07,67
2012-01-14,133
2012-01-21,86
2012-01-28,69
2012-02-04,77
2012-02-11,71
2012-02-18,70
2012-02-25,72
2012-03-03,74
2012-03-10,205
2012-03-17,81
2012-03-24,74
2012-03-31,105
2012-04-07,73
2012-04-14,93
2012-04-21,73
2012-04-28,69
2012-05-05,71
2012-05-12,81
2012-05-19,74
2012-05-26,103
2012-06-02,104
2012-06-09,91
2012-06-16,76
2012-06-23,73
2012-06-30,79
2012-07-07,78
2012-07-14,103
2012-07-21,83
2012-07-28,113
2012-08-04,102
2012-08-11,81
2012-08-18,77
2012-08-25,75
2012-09-01,88
2012-09-08,72
2012-09-15,76
2012-09-22,70
2012-09-29,183
2012-10-06,79
2012-10-13,109
2012-10-20,95
2012-10-27,82
2012-11-03,84
2012-11-10,82
2012-11-17,72
2012-11-24,72
2012-12-01,72
2012-12-08,67
2012-12-15,67
2012-12-22,65
2012-12-29,67
2013-01-05,66
2013-01-12,70
2013-01-19,74
2013-01-26,71
2013-02-02,73
2013-02-09,65
2013-02-16,64
2013-02-23,68
2013-03-02,161
2013-03-09,123
2013-03-16,84
2013-03-23,81
2013-03-30,72
2013-04-06,72
2013-04-13,88
2013-04-20,93
2013-04-27,79
2013-05-04,81
2013-05-11,83
2013-05-18,77
2013-05-25,68
2013-06-01,69
2013-06-08,78
2013-06-15,71
2013-06-22,73
2013-06-29,71
2013-07-06,139
2013-07-13,133
2013-07-20,144
2013-07-27,169
2013-08-03,186
2013-08-10,142
2013-08-17,188
2013-08-24,404
2013-08-31,151
2013-09-07,140
2013-09-14,329
2013-09-21,238
2013-09-28,187
2013-10-05,156
2013-10-12,225
2013-10-19,250
2013-10-26,245
2013-11-02,254
2013-11-09,244
2013-11-16,246
2013-11-23,196
2013-11-30,172
2013-12-07,148
2013-12-14,143
2013-12-21,145
2013-12-28,139
2014-01-04,132
2014-01-11,223
2014-01-18,228
2014-01-25,167
2014-02-01,215
2014-02-08,159
2014-02-15,179
2014-02-22,183
2014-03-01,379
2014-03-08,203
2014-03-15,193
2014-03-22,198
2014-03-29,180
2014-04-05,190
2014-04-12,230
2014-04-19,329
2014-04-26,299
2014-05-03,184
2014-05-10,222
2014-05-17,288
2014-05-24,317
2014-05-31,242
2014-06-07,281
2014-06-14,260
2014-06-21,316
2014-06-28,467
2014-07-05,396
2014-07-12,428
2014-07-19,429
2014-07-26,440
2014-08-02,544
2014-08-09,417
2014-08-16,415
2014-08-23,411
2014-08-30,476
2014-09-06,346
2014-09-13,347
2014-09-20,411
2014-09-27,620
2014-10-04,365
2014-10-11,355
2014-10-18,287
2014-10-25,491
2014-11-01,361
2014-11-08,339
2014-11-15,323
2014-11-22,305
2014-11-29,356
2014-12-06,259
2014-12-13,266
2014-12-20,238
2014-12-27,274
2015-01-03,233
2015-01-10,222
2015-01-17,201
2015-01-24,211
2015-01-31,264
2015-02-07,338
2015-02-14,184
2015-02-21,153
2015-02-28,170
2015-03-07,202
2015-03-14,208
2015-03-21,224
2015-03-28,205
2015-04-04,239
2015-04-11,212
2015-04-18,213
2015-04-25,185
2015-05-02,189
2015-05-09,355
2015-05-16,194
2015-05-23,197
2015-05-30,214
2015-06-06,193
2015-06-13,250
2015-06-20,189
2015-06-27,195
2015-07-04,201
2015-07-11,224
2015-07-18,205
2015-07-25,416
2015-08-01,296
2015-08-08,227
2015-08-15,304
2015-08-22,609
2015-08-29,433
2015-09-05,219
2015-09-12,229
2015-09-19,307
2015-09-26,342
2015-10-03,312
2015-10-10,327
2015-10-17,510
2015-10-24,419
2015-10-31,329
2015-11-07,328
2015-11-14,325
2015-11-21,301
2015-11-28,312
2015-12-05,315
2015-12-12,312
2015-12-19,460
2015-12-26,339
2016-01-02,328
2016-01-09,327
2016-01-16,328
2016-01-23,304
2016-01-30,244
2016-02-06,188
2016-02-13,202
2016-02-20,207
2016-02-27,389
2016-03-05,321
2016-03-12,279
2016-03-19,268
2016-03-26,237
2016-04-02,204
2016-04-09,198
2016-04-16,192
2016-04-23,243
2016-04-30,238
2016-05-07,243
2016-05-14,220
2016-05-21,210
2016-05-28,193
2016-06-04,212
2016-06-11,185
2016-06-18,189
2016-06-25,183
2016-07-02,206
2016-07-09,185
2016-07-16,180
2016-07-23,195
2016-07-30,195
2016-08-06,184
2016-08-13,169
2016-08-20,179
2016-08-27,175
2016-09-03,202
2016-09-10,182
2016-09-17,168
2016-09-24,180
2016-10-01,164
2016-10-08,183
2016-10-15,344
2016-10-22,271
2016-10-29,223
2016-11-05,257
2016-11-12,158
2016-11-19,208
2016-11-26,154
2016-12-03,165
2016-12-10,186
2016-12-17,192
2016-12-24,191
2016-12-31,179
2017-01-07,189
2017-01-14,172
2017-01-21,155
2017-01-28,144
2017-02-04,146
2017-02-11,149
2017-02-18,176
2017-02-25,183
2017-03-04,179
2017-03-11,275
2017-03-18,203
2017-03-25,195
2017-04-01,164
2017-04-08,169
2017-04-15,168
2017-04-22,157
2017-04-29,148
2017-05-06,165
2017-05-13,161
2017-05-20,173
2017-05-27,159
2017-06-03,147
2017-06-10,164
2017-06-17,164
2017-06-24,163
2017-07-01,169
2017-07-08,186
2017-07-15,175
2017-07-22,171
2017-07-29,190
2017-08-05,162
2017-08-12,157
2017-08-19,169
2017-08-26,204
2017-09-02,174
2017-09-09,244
2017-09-16,177
2017-09-23,206
2017-09-30,170
2017-10-07,154
2017-10-14,598
2017-10-21,372
2017-10-28,275
2017-11-04,204
2017-11-11,221
2017-11-18,225
2017-11-25,201
2017-12-02,212
2017-12-09,201
2017-12-16,198
2017-12-23,209
2017-12-30,187
2018-01-06,184
2018-01-13,191
2018-01-20,191
2018-01-27,182
2018-02-03,166
2018-02-10,155
2018-02-17,146
2018-02-24,154
2018-03-03,354
2018-03-10,213
2018-03-17,192
2018-03-24,168
2018-03-31,171
2018-04-07,163
2018-04-14,176
2018-04-21,176
2018-04-28,159
2018-05-05,157
2018-05-12,164
2018-05-19,154
2018-05-26,154
2018-06-02,149
2018-06-09,157
2018-06-16,152
2018-06-23,151
2018-06-30,152
2018-07-07,152
2018-07-14,151
2018-07-21,183
2018-07-28,162
2018-08-04,169
2018-08-11,154
2018-08-18,152
2018-08-25,158
2018-09-01,169
2018-09-08,155
2018-09-15,153
2018-09-22,138
2018-09-29,151
2018-10-06,140
2018-10-13,377
2018-10-20,204
2018-10-27,317
2018-11-03,222
2018-11-10,212
2018-11-17,166
2018-11-24,216
2018-12-01,166
2018-12-08,192
2018-12-15,169
2018-12-22,181
2018-12-29,155
2019-01-05,160
2019-01-12,164
2019-01-19,168
2019-01-26,165
2019-02-02,149
2019-02-09,122
2019-02-16,150
2019-02-23,144
2019-03-02,260
2019-03-09,174
2019-03-16,168
2019-03-23,161
2019-03-30,160
2019-04-06,147
2019-04-13,151
2019-04-20,144
2019-04-27,157
2019-05-04,140
2019-05-11,160
2019-05-18,155
2019-05-25,174
2019-06-01,176
2019-06-08,150
2019-06-15,147
2019-06-22,145
2019-06-29,157
2019-07-06,162
2019-07-13,131
2019-07-20,149
2019-07-27,157
2019-08-03,141
2019-08-10,144
2019-08-17,144
2019-08-24,151
2019-08-31,141
2019-09-07,145
2019-09-14,151
2019-09-21,153
2019-09-28,155
2019-10-05,139
2019-10-12,367
2019-10-19,234
2019-10-26,240
2019-11-02,210
2019-11-09,178
2019-11-16,162
2019-11-23,259
2019-11-30,152
2019-12-07,165
2019-12-14,163
2019-12-21,155
2019-12-28,155
2020-01-04,144
2020-01-11,191
2020-01-18,163
2020-01-25,129
2020-02-01,134
2020-02-08,134
2020-02-15,136
2020-02-22,139
2020-02-29,229
2020-03-07,164
2020-03-14,171
2020-03-21,197
2020-03-28,161
2020-04-04,152
2020-04-11,260
2020-04-18,163
2020-04-25,152
2020-05-02,147
2020-05-09,143
2020-05-16,155
2020-05-23,147
2020-05-30,161
2020-06-06,145
2020-06-13,140
2020-06-20,146
2020-06-27,186
2020-07-04,148
2020-07-11,143
2020-07-18,144
2020-07-25,148
2020-08-01,149
2020-08-08,171
2020-08-15,179
2020-08-22,154
2020-08-29,141
2020-09-05,143
2020-09-12,245
2020-09-19,152
2020-09-26,156
2020-10-03,124
2020-10-10,134
2020-10-17,163
2020-10-24,392
2020-10-31,193
2020-11-07,188
2020-11-14,208
2020-11-21,157
2020-11-28,181
2020-12-05,147
2020-12-12,169
2020-12-19,145
2020-12-26,154
2021-01-02,159
2021-01-09,153
2021-01-16,174
2021-01-23,160
2021-01-30,147
2021-02-06,143
2021-02-13,179
2021-02-20,145
2021-02-27,151
2021-03-06,343
2021-03-13,162
2021-03-20,157
2021-03-27,295
2021-04-03,357
2021-04-10,249
2021-04-17,193
2021-04-24,177
2021-05-01,158
2021-05-08,158
2021-05-15,159
2021-05-22,200
2021-05-29,163
2021-06-05,144
2021-06-12,147
2021-06-19,145
2021-06-26,138
2021-07-03,141
2021-07-10,147
2021-07-17,140
2021-07-24,141
2021-07-31,130
2021-08-07,139
2021-08-14,141
2021-08-21,198
2021-08-28,150
2021-09-04,134
2021-09-11,150
2021-09-18,165
2021-09-25,159
2021-10-02,141
2021-10-09,138
2021-10-16,149
2021-10-23,159
2021-10-30,237
2021-11-06,165
2021-11-13,156
2021-11-20,166
2021-11-27,140
2021-12-04,158
2021-12-11,157
2021-12-18,139
2021-12-25,172
2022-01-01,149
2022-01-08,152
2022-01-15,158
2022-01-22,184
2022-01-29,148
2022-02-05,138
2022-02-12,150
2022-02-19,146
2022-02-26,144
2022-03-05,142
2022-03-12,145
2022-03-19,214
2022-03-26,165
2022-04-02,156
2022-04-09,151
2022-04-16,155
2022-04-23,151
2022-04-30,140
2022-05-07,142
2022-05-14,148
2022-05-21,140
2022-05-28,154
2022-06-04,148
2022-06-11,131
2022-06-18,161
2022-06-25,146
2022-07-02,133
2022-07-09,182
2022-07-16,147
2022-07-23,145
2022-07-30,147
2022-08-06,138
2022-08-13,131
2022-08-20,149
2022-08-27,136
2022-09-03,153
2022-09-10,183
2022-09-17,168
2022-09-24,155
2022-10-01,144
2022-10-08,135
2022-10-15,145
2022-10-22,142
2022-10-29,151
2022-11-05,157
2022-11-12,428
2022-11-19,229
2022-11-26,218
2022-12-03,184
2022-12-10,183
2022-12-17,356
2022-12-24,207
2022-12-31,164
2023-01-07,163
2023-01-14,172
2023-01-21,147
2023-01-28,142
2023-02-04,158
2023-02-11,169
2023-02-18,162
2023-02-25,207
2023-03-04,213
2023-03-11,219
2023-03-18,201
2023-03-25,236
2023-04-01,174
2023-04-08,154
2023-04-15,143
2023-04-22,160
2023-04-29,153
2023-05-06,141
2023-05-13,155
2023-05-20,141
2023-05-27,144
2023-06-03,142
2023-06-10,146
2023-06-17,137
2023-06-24,141
2023-07-01,137
2023-07-08,141
2023-07-15,141
2023-07-22,139
2023-07-29,143
2023-08-05,139
2023-08-12,141
2023-08-19,146
2023-08-26,138
2023-09-02,136
2023-09-09,136
2023-09-16,143
2023-09-23,146
2023-09-30,144
2023-10-07,147
2023-10-14,144
2023-10-21,135
2023-10-28,211
2023-11-04,158
2023-11-11,152
2023-11-18,238
2023-11-25,139
2023-12-02,136
2023-12-09,135
2023-12-16,145
2023-12-23,138
2023-12-30,138
2024-01-06,135
2024-01-13,158
2024-01-20,140
2024-01-27,130
2024-02-03,142
2024-02-10,111
2024-02-17,108
2024-02-24,135
2024-03-02,149
2024-03-09,158
2024-03-16,156
2024-03-23,208
2024-03-30,214
2024-04-06,135
2024-04-13,161
2024-04-20,147
2024-04-27,131
2024-05-04,133
2024-05-11,137
2024-05-18,131
2024-05-25,122
2024-06-01,128
2024-06-08,136
2024-06-15,133
2024-06-22,131
2024-06-29,133
2024-07-06,114
2024-07-13,136
2024-07-20,115
2024-07-27,150
2024-08-03,132
2024-08-10,128
2024-08-17,135
2024-08-24,141
2024-08-31,144
2024-09-07,139
2024-09-14,147
2024-09-21,136
2024-09-28,185
2024-10-05,131
2024-10-12,141
2024-10-19,149
2024-10-26,153
2024-11-02,248
2024-11-09,141
2024-11-16,141
2024-11-23,146
2024-11-30,128
2024-12-07,135
2024-12-14,145
2024-12-21,173
2024-12-28,142
2025-01-04,132
2025-01-11,162
2025-01-18,175
2025-01-25,141
2025-02-01,126
2025-02-08,133
2025-02-15,132
2025-02-22,137
2025-03-01,213
2025-03-08,182
2025-03-15,135
2025-03-22,146
2025-03-29,193
2025-04-05,161
2025-04-12,150
2025-04-19,159
2025-04-26,140
2025-05-03,155
2025-05-10,154
2025-05-17,150
2025-05-24,144
2025-05-31,146
2025-06-07,144
2025-06-14,203
2025-06-21,149
2025-06-28,138
2025-07-05,137
2025-07-12,135
2025-07-19,146
2025-07-26,138
2025-08-02,119
2025-08-09,130
2025-08-16,130
2025-08-23,123
2025-08-30,128
2025-09-06,129
2025-09-13,124
2025-09-20,128
2025-09-27,132
2025-10-04,94
2025-10-11,121
2025-10-18,107
2025-10-25,117
2025-11-01,180
2025-11-08,131
2025-11-15,127
2025-11-22,130
2025-11-29,122
2025-12-06,128
2025-12-13,122
2025-12-20,119
2025-12-27,129
2026-01-03,107
2026-01-10,113
2026-01-17,126
2026-01-24,100
2026-01-31,134
2026-02-07,154
2026-02-14,125
2026-02-21,91
2026-02-28,115
2026-03-07,140
2026-03-14,128
2026-03-21,114
2026-03-28,126
2026-04-04,106
2026-04-11,115
2026-04-18,115
2026-04-25,100
2026-05-02,119
