日期,胡润
2011-01-01,82
2011-01-08,88
2011-01-15,101
2011-01-22,117
2011-01-29,74
2011-02-05,67
2011-02-12,72
2011-02-19,81
2011-02-26,81
2011-03-05,79
2011-03-12,80
2011-03-19,78
2011-03-26,81
2011-04-02,82
2011-04-09,80
2011-04-16,144
2011-04-23,100
2011-04-30,91
2011-05-07,72
2011-05-14,118
2011-05-21,102
2011-05-28,79
2011-06-04,107
2011-06-11,76
2011-06-18,94
2011-06-25,81
2011-07-02,89
2011-07-09,78
2011-07-16,96
2011-07-23,82
2011-07-30,79
2011-08-06,76
2011-08-13,72
2011-08-20,79
2011-08-27,82
2011-09-03,81
2011-09-10,171
2011-09-17,93
2011-09-24,140
2011-10-01,109
2011-10-08,75
2011-10-15,89
2011-10-22,78
2011-10-29,76
2011-11-05,105
2011-11-12,83
2011-11-19,100
2011-11-26,87
2011-12-03,78
2011-12-10,78
2011-12-17,85
2011-12-24,95
2011-12-31,86
2012-01-07,75
2012-01-14,115
2012-01-21,80
2012-01-28,65
2012-02-04,76
2012-02-11,80
2012-02-18,74
2012-02-25,77
2012-03-03,83
2012-03-10,169
2012-03-17,81
2012-03-24,76
2012-03-31,102
2012-04-07,72
2012-04-14,92
2012-04-21,87
2012-04-28,75
2012-05-05,68
2012-05-12,92
2012-05-19,89
2012-05-26,92
2012-06-02,91
2012-06-09,80
2012-06-16,78
2012-06-23,77
2012-06-30,80
2012-07-07,79
2012-07-14,88
2012-07-21,88
2012-07-28,98
2012-08-04,92
2012-08-11,85
2012-08-18,77
2012-08-25,72
2012-09-01,70
2012-09-08,77
2012-09-15,75
2012-09-22,69
2012-09-29,143
2012-10-06,63
2012-10-13,106
2012-10-20,88
2012-10-27,84
2012-11-03,76
2012-11-10,80
2012-11-17,72
2012-11-24,77
2012-12-01,75
2012-12-08,68
2012-12-15,66
2012-12-22,69
2012-12-29,64
2013-01-05,65
2013-01-12,71
2013-01-19,78
2013-01-26,74
2013-02-02,71
2013-02-09,67
2013-02-16,56
2013-02-23,72
2013-03-02,132
2013-03-09,89
2013-03-16,77
2013-03-23,72
2013-03-30,74
2013-04-06,72
2013-04-13,74
2013-04-20,93
2013-04-27,77
2013-05-04,70
2013-05-11,76
2013-05-18,74
2013-05-25,73
2013-06-01,68
2013-06-08,72
2013-06-15,66
2013-06-22,66
2013-06-29,68
2013-07-06,144
2013-07-13,142
2013-07-20,133
2013-07-27,150
2013-08-03,157
2013-08-10,128
2013-08-17,162
2013-08-24,264
2013-08-31,142
2013-09-07,132
2013-09-14,253
2013-09-21,185
2013-09-28,173
2013-10-05,133
2013-10-12,180
2013-10-19,206
2013-10-26,203
2013-11-02,210
2013-11-09,191
2013-11-16,188
2013-11-23,174
2013-11-30,136
2013-12-07,133
2013-12-14,137
2013-12-21,135
2013-12-28,136
2014-01-04,137
2014-01-11,193
2014-01-18,193
2014-01-25,152
2014-02-01,175
2014-02-08,138
2014-02-15,162
2014-02-22,157
2014-03-01,268
2014-03-08,166
2014-03-15,168
2014-03-22,169
2014-03-29,157
2014-04-05,163
2014-04-12,193
2014-04-19,233
2014-04-26,228
2014-05-03,145
2014-05-10,179
2014-05-17,209
2014-05-24,226
2014-05-31,198
2014-06-07,224
2014-06-14,206
2014-06-21,237
2014-06-28,306
2014-07-05,272
2014-07-12,276
2014-07-19,279
2014-07-26,297
2014-08-02,346
2014-08-09,273
2014-08-16,276
2014-08-23,281
2014-08-30,322
2014-09-06,262
2014-09-13,272
2014-09-20,294
2014-09-27,452
2014-10-04,235
2014-10-11,268
2014-10-18,231
2014-10-25,326
2014-11-01,271
2014-11-08,235
2014-11-15,207
2014-11-22,229
2014-11-29,269
2014-12-06,227
2014-12-13,222
2014-12-20,203
2014-12-27,210
2015-01-03,177
2015-01-10,175
2015-01-17,171
2015-01-24,170
2015-01-31,213
2015-02-07,290
2015-02-14,175
2015-02-21,134
2015-02-28,153
2015-03-07,178
2015-03-14,171
2015-03-21,175
2015-03-28,160
2015-04-04,186
2015-04-11,156
2015-04-18,193
2015-04-25,183
2015-05-02,173
2015-05-09,253
2015-05-16,169
2015-05-23,183
2015-05-30,188
2015-06-06,174
2015-06-13,171
2015-06-20,159
2015-06-27,207
2015-07-04,199
2015-07-11,210
2015-07-18,187
2015-07-25,252
2015-08-01,195
2015-08-08,181
2015-08-15,239
2015-08-22,487
2015-08-29,317
2015-09-05,178
2015-09-12,192
2015-09-19,266
2015-09-26,294
2015-10-03,259
2015-10-10,259
2015-10-17,465
2015-10-24,369
2015-10-31,277
2015-11-07,274
2015-11-14,291
2015-11-21,237
2015-11-28,237
2015-12-05,283
2015-12-12,276
2015-12-19,320
2015-12-26,299
2016-01-02,247
2016-01-09,264
2016-01-16,286
2016-01-23,277
2016-01-30,226
2016-02-06,187
2016-02-13,174
2016-02-20,203
2016-02-27,336
2016-03-05,310
2016-03-12,262
2016-03-19,253
2016-03-26,256
2016-04-02,195
2016-04-09,184
2016-04-16,182
2016-04-23,199
2016-04-30,190
2016-05-07,187
2016-05-14,177
2016-05-21,194
2016-05-28,198
2016-06-04,195
2016-06-11,186
2016-06-18,173
2016-06-25,176
2016-07-02,183
2016-07-09,198
2016-07-16,185
2016-07-23,205
2016-07-30,187
2016-08-06,191
2016-08-13,160
2016-08-20,167
2016-08-27,169
2016-09-03,189
2016-09-10,193
2016-09-17,156
2016-09-24,175
2016-10-01,162
2016-10-08,142
2016-10-15,279
2016-10-22,223
2016-10-29,204
2016-11-05,203
2016-11-12,147
2016-11-19,184
2016-11-26,152
2016-12-03,159
2016-12-10,172
2016-12-17,168
2016-12-24,175
2016-12-31,170
