日期,胡润
2011-01-01,74
2011-01-08,63
2011-01-15,63
2011-01-22,83
2011-01-29,62
2011-02-05,51
2011-02-12,60
2011-02-19,64
2011-02-26,62
2011-03-05,54
2011-03-12,67
2011-03-19,45
2011-03-26,63
2011-04-02,60
2011-04-09,63
2011-04-16,97
2011-04-23,71
2011-04-30,69
2011-05-07,64
2011-05-14,65
2011-05-21,72
2011-05-28,63
2011-06-04,77
2011-06-11,61
2011-06-18,67
2011-06-25,63
2011-07-02,62
2011-07-09,64
2011-07-16,68
2011-07-23,64
2011-07-30,61
2011-08-06,62
2011-08-13,56
2011-08-20,51
2011-08-27,56
2011-09-03,53
2011-09-10,129
2011-09-17,71
2011-09-24,109
2011-10-01,86
2011-10-08,64
2011-10-15,68
2011-10-22,75
2011-10-29,93
2011-11-05,69
2011-11-12,66
2011-11-19,67
2011-11-26,53
2011-12-03,62
2011-12-10,63
2011-12-17,62
2011-12-24,63
2011-12-31,53
2012-01-07,60
2012-01-14,88
2012-01-21,67
2012-01-28,41
2012-02-04,62
2012-02-11,52
2012-02-18,54
2012-02-25,61
2012-03-03,63
2012-03-10,108
2012-03-17,66
2012-03-24,57
2012-03-31,81
2012-04-07,64
2012-04-14,70
2012-04-21,63
2012-04-28,60
2012-05-05,62
2012-05-12,65
2012-05-19,67
2012-05-26,82
2012-06-02,67
2012-06-09,63
2012-06-16,53
2012-06-23,54
2012-06-30,67
2012-07-07,64
2012-07-14,80
2012-07-21,69
2012-07-28,74
2012-08-04,74
2012-08-11,71
2012-08-18,54
2012-08-25,61
2012-09-01,53
2012-09-08,61
2012-09-15,64
2012-09-22,65
2012-09-29,97
2012-10-06,62
2012-10-13,79
2012-10-20,77
2012-10-27,67
2012-11-03,66
2012-11-10,68
2012-11-17,51
2012-11-24,58
2012-12-01,59
2012-12-08,60
2012-12-15,51
2012-12-22,43
2012-12-29,44
2013-01-05,34
2013-01-12,62
2013-01-19,56
2013-01-26,53
2013-02-02,59
2013-02-09,52
2013-02-16,33
2013-02-23,53
2013-03-02,101
2013-03-09,85
2013-03-16,65
2013-03-23,64
2013-03-30,56
2013-04-06,55
2013-04-13,66
2013-04-20,69
2013-04-27,65
2013-05-04,56
2013-05-11,55
2013-05-18,62
2013-05-25,57
2013-06-01,45
2013-06-08,68
2013-06-15,63
2013-06-22,59
2013-06-29,54
2013-07-06,113
2013-07-13,86
2013-07-20,105
2013-07-27,120
2013-08-03,144
2013-08-10,118
2013-08-17,172
2013-08-24,264
2013-08-31,127
2013-09-07,122
2013-09-14,222
2013-09-21,186
2013-09-28,146
2013-10-05,130
2013-10-12,177
2013-10-19,180
2013-10-26,163
2013-11-02,156
2013-11-09,156
2013-11-16,156
2013-11-23,148
2013-11-30,124
2013-12-07,132
2013-12-14,119
2013-12-21,116
2013-12-28,127
2014-01-04,111
2014-01-11,145
2014-01-18,150
2014-01-25,122
2014-02-01,166
2014-02-08,129
2014-02-15,131
2014-02-22,140
2014-03-01,229
2014-03-08,154
2014-03-15,150
2014-03-22,144
2014-03-29,133
2014-04-05,136
2014-04-12,157
2014-04-19,195
2014-04-26,171
2014-05-03,127
2014-05-10,156
2014-05-17,146
2014-05-24,170
2014-05-31,146
2014-06-07,166
2014-06-14,165
2014-06-21,179
2014-06-28,234
2014-07-05,192
2014-07-12,223
2014-07-19,198
2014-07-26,190
2014-08-02,218
2014-08-09,204
2014-08-16,192
2014-08-23,186
2014-08-30,241
2014-09-06,184
2014-09-13,203
2014-09-20,227
2014-09-27,315
2014-10-04,198
2014-10-11,196
2014-10-18,174
2014-10-25,280
2014-11-01,225
2014-11-08,184
2014-11-15,176
2014-11-22,178
2014-11-29,203
2014-12-06,161
2014-12-13,164
2014-12-20,151
2014-12-27,175
2015-01-03,146
2015-01-10,149
2015-01-17,133
2015-01-24,133
2015-01-31,154
2015-02-07,220
2015-02-14,138
2015-02-21,118
2015-02-28,134
2015-03-07,151
2015-03-14,141
2015-03-21,150
2015-03-28,141
2015-04-04,154
2015-04-11,141
2015-04-18,149
2015-04-25,139
2015-05-02,142
2015-05-09,228
2015-05-16,149
2015-05-23,149
2015-05-30,157
2015-06-06,146
2015-06-13,148
2015-06-20,150
2015-06-27,142
2015-07-04,142
2015-07-11,163
2015-07-18,153
2015-07-25,189
2015-08-01,158
2015-08-08,153
2015-08-15,187
2015-08-22,358
2015-08-29,230
2015-09-05,154
2015-09-12,171
2015-09-19,225
2015-09-26,246
2015-10-03,238
2015-10-10,247
2015-10-17,373
2015-10-24,320
2015-10-31,227
2015-11-07,230
2015-11-14,252
2015-11-21,210
2015-11-28,204
2015-12-05,235
2015-12-12,215
2015-12-19,299
2015-12-26,246
2016-01-02,228
2016-01-09,229
2016-01-16,237
2016-01-23,238
2016-01-30,176
2016-02-06,151
2016-02-13,155
2016-02-20,162
2016-02-27,269
2016-03-05,233
2016-03-12,208
2016-03-19,197
2016-03-26,195
2016-04-02,161
2016-04-09,159
2016-04-16,143
2016-04-23,154
2016-04-30,156
2016-05-07,167
2016-05-14,159
2016-05-21,163
2016-05-28,154
2016-06-04,162
2016-06-11,166
2016-06-18,149
2016-06-25,151
2016-07-02,145
2016-07-09,150
2016-07-16,144
2016-07-23,166
2016-07-30,149
2016-08-06,147
2016-08-13,144
2016-08-20,151
2016-08-27,142
2016-09-03,164
2016-09-10,157
2016-09-17,145
2016-09-24,153
2016-10-01,150
2016-10-08,137
2016-10-15,270
2016-10-22,194
2016-10-29,203
2016-11-05,202
2016-11-12,149
2016-11-19,159
2016-11-26,147
2016-12-03,153
2016-12-10,163
2016-12-17,173
2016-12-24,175
2016-12-31,167
2017-01-07,174
2017-01-14,158
2017-01-21,156
2017-01-28,131
2017-02-04,149
2017-02-11,152
2017-02-18,155
2017-02-25,170
2017-03-04,156
2017-03-11,194
2017-03-18,159
2017-03-25,141
2017-04-01,125
2017-04-08,126
2017-04-15,132
2017-04-22,123
2017-04-29,125
2017-05-06,125
2017-05-13,128
2017-05-20,128
2017-05-27,142
2017-06-03,127
2017-06-10,136
2017-06-17,140
2017-06-24,148
2017-07-01,150
2017-07-08,159
2017-07-15,171
2017-07-22,146
2017-07-29,151
2017-08-05,141
2017-08-12,145
2017-08-19,142
2017-08-26,159
2017-09-02,142
2017-09-09,151
2017-09-16,194
2017-09-23,169
2017-09-30,131
2017-10-07,133
2017-10-14,340
2017-10-21,241
2017-10-28,189
2017-11-04,161
2017-11-11,167
2017-11-18,167
2017-11-25,155
2017-12-02,190
2017-12-09,160
2017-12-16,145
2017-12-23,146
2017-12-30,157
2018-01-06,147
2018-01-13,141
2018-01-20,148
2018-01-27,144
2018-02-03,144
2018-02-10,140
2018-02-17,132
2018-02-24,127
2018-03-03,247
2018-03-10,171
2018-03-17,155
2018-03-24,156
2018-03-31,138
2018-04-07,140
2018-04-14,144
2018-04-21,139
2018-04-28,138
2018-05-05,138
2018-05-12,147
2018-05-19,128
2018-05-26,142
2018-06-02,126
2018-06-09,132
2018-06-16,126
2018-06-23,123
2018-06-30,130
2018-07-07,133
2018-07-14,136
2018-07-21,137
2018-07-28,128
2018-08-04,140
2018-08-11,138
2018-08-18,132
2018-08-25,130
2018-09-01,140
2018-09-08,138
2018-09-15,127
2018-09-22,130
2018-09-29,131
2018-10-06,111
2018-10-13,230
2018-10-20,158
2018-10-27,226
2018-11-03,168
2018-11-10,159
2018-11-17,137
2018-11-24,167
2018-12-01,143
2018-12-08,129
2018-12-15,142
2018-12-22,149
2018-12-29,131
2019-01-05,142
2019-01-12,140
2019-01-19,131
2019-01-26,143
2019-02-02,127
2019-02-09,120
2019-02-16,137
2019-02-23,134
2019-03-02,182
2019-03-09,146
2019-03-16,140
2019-03-23,147
2019-03-30,135
2019-04-06,136
2019-04-13,131
2019-04-20,134
2019-04-27,135
2019-05-04,116
2019-05-11,108
2019-05-18,139
2019-05-25,134
2019-06-01,135
2019-06-08,126
2019-06-15,132
2019-06-22,135
2019-06-29,131
2019-07-06,133
2019-07-13,111
2019-07-20,122
2019-07-27,112
2019-08-03,121
2019-08-10,115
2019-08-17,127
2019-08-24,123
2019-08-31,131
2019-09-07,113
2019-09-14,133
2019-09-21,121
2019-09-28,128
2019-10-05,102
2019-10-12,254
2019-10-19,181
2019-10-26,183
2019-11-02,174
2019-11-09,141
2019-11-16,143
2019-11-23,176
2019-11-30,127
2019-12-07,137
2019-12-14,128
2019-12-21,134
2019-12-28,128
2020-01-04,119
2020-01-11,135
2020-01-18,145
2020-01-25,117
2020-02-01,117
2020-02-08,134
2020-02-15,136
2020-02-22,135
2020-02-29,199
2020-03-07,153
2020-03-14,148
2020-03-21,165
2020-03-28,142
2020-04-04,143
2020-04-11,197
2020-04-18,127
2020-04-25,132
2020-05-02,126
2020-05-09,132
2020-05-16,129
2020-05-23,125
2020-05-30,138
2020-06-06,126
2020-06-13,131
2020-06-20,135
2020-06-27,153
2020-07-04,132
2020-07-11,130
2020-07-18,120
2020-07-25,133
2020-08-01,132
2020-08-08,149
2020-08-15,131
2020-08-22,133
2020-08-29,144
2020-09-05,135
2020-09-12,157
2020-09-19,127
2020-09-26,133
2020-10-03,114
2020-10-10,127
2020-10-17,132
2020-10-24,223
2020-10-31,139
2020-11-07,155
2020-11-14,127
