日期,胡润
2011-01-01,70
2011-01-08,65
2011-01-15,63
2011-01-22,88
2011-01-29,66
2011-02-05,60
2011-02-12,61
2011-02-19,60
2011-02-26,60
2011-03-05,52
2011-03-12,64
2011-03-19,61
2011-03-26,61
2011-04-02,67
2011-04-09,62
2011-04-16,84
2011-04-23,67
2011-04-30,63
2011-05-07,60
2011-05-14,54
2011-05-21,62
2011-05-28,63
2011-06-04,79
2011-06-11,51
2011-06-18,57
2011-06-25,61
2011-07-02,60
2011-07-09,54
2011-07-16,71
2011-07-23,64
2011-07-30,54
2011-08-06,61
2011-08-13,64
2011-08-20,62
2011-08-27,65
2011-09-03,59
2011-09-10,112
2011-09-17,59
2011-09-24,109
2011-10-01,77
2011-10-08,64
2011-10-15,70
2011-10-22,61
2011-10-29,60
2011-11-05,69
2011-11-12,65
2011-11-19,74
2011-11-26,52
2011-12-03,59
2011-12-10,63
2011-12-17,53
2011-12-24,61
2011-12-31,61
2012-01-07,60
2012-01-14,85
2012-01-21,68
2012-01-28,34
2012-02-04,61
2012-02-11,62
2012-02-18,61
2012-02-25,61
2012-03-03,63
2012-03-10,112
2012-03-17,68
2012-03-24,55
2012-03-31,67
2012-04-07,61
2012-04-14,70
2012-04-21,64
2012-04-28,61
2012-05-05,62
2012-05-12,63
2012-05-19,65
2012-05-26,75
2012-06-02,68
2012-06-09,53
2012-06-16,64
2012-06-23,54
2012-06-30,54
2012-07-07,52
2012-07-14,70
2012-07-21,67
2012-07-28,73
2012-08-04,58
2012-08-11,67
2012-08-18,69
2012-08-25,67
2012-09-01,76
2012-09-08,67
2012-09-15,64
2012-09-22,64
2012-09-29,99
2012-10-06,64
2012-10-13,77
2012-10-20,69
2012-10-27,62
2012-11-03,66
2012-11-10,65
2012-11-17,60
2012-11-24,56
2012-12-01,45
2012-12-08,60
2012-12-15,61
2012-12-22,60
2012-12-29,43
2013-01-05,51
2013-01-12,51
2013-01-19,53
2013-01-26,45
2013-02-02,52
2013-02-09,51
2013-02-16,34
2013-02-23,61
2013-03-02,88
2013-03-09,72
2013-03-16,66
2013-03-23,64
2013-03-30,55
2013-04-06,43
2013-04-13,66
2013-04-20,70
2013-04-27,69
2013-05-04,58
2013-05-11,67
2013-05-18,66
2013-05-25,82
2013-06-01,68
2013-06-08,64
2013-06-15,44
2013-06-22,54
2013-06-29,61
2013-07-06,107
2013-07-13,114
2013-07-20,128
2013-07-27,130
2013-08-03,137
2013-08-10,124
2013-08-17,144
2013-08-24,239
2013-08-31,118
2013-09-07,112
2013-09-14,210
2013-09-21,174
2013-09-28,145
2013-10-05,126
2013-10-12,160
2013-10-19,169
2013-10-26,159
2013-11-02,152
2013-11-09,161
2013-11-16,159
2013-11-23,147
2013-11-30,113
2013-12-07,128
2013-12-14,115
2013-12-21,112
2013-12-28,114
2014-01-04,88
2014-01-11,157
2014-01-18,156
2014-01-25,129
2014-02-01,184
2014-02-08,129
2014-02-15,139
2014-02-22,135
2014-03-01,234
2014-03-08,155
2014-03-15,139
2014-03-22,143
2014-03-29,130
2014-04-05,137
2014-04-12,154
2014-04-19,185
2014-04-26,173
2014-05-03,131
2014-05-10,156
2014-05-17,155
2014-05-24,166
2014-05-31,147
2014-06-07,158
2014-06-14,150
2014-06-21,165
2014-06-28,219
2014-07-05,187
2014-07-12,194
2014-07-19,188
2014-07-26,190
2014-08-02,214
2014-08-09,185
2014-08-16,199
2014-08-23,199
2014-08-30,219
2014-09-06,183
2014-09-13,184
2014-09-20,201
2014-09-27,305
2014-10-04,180
2014-10-11,186
2014-10-18,161
2014-10-25,258
2014-11-01,223
2014-11-08,190
2014-11-15,169
2014-11-22,184
2014-11-29,188
2014-12-06,152
2014-12-13,156
2014-12-20,153
2014-12-27,164
2015-01-03,143
2015-01-10,138
2015-01-17,139
2015-01-24,141
2015-01-31,150
2015-02-07,223
2015-02-14,137
2015-02-21,121
2015-02-28,121
2015-03-07,147
2015-03-14,139
2015-03-21,139
2015-03-28,131
2015-04-04,153
2015-04-11,132
2015-04-18,148
2015-04-25,132
2015-05-02,139
2015-05-09,237
2015-05-16,133
2015-05-23,144
2015-05-30,225
2015-06-06,146
2015-06-13,144
2015-06-20,141
2015-06-27,139
2015-07-04,138
2015-07-11,146
2015-07-18,135
2015-07-25,177
2015-08-01,136
2015-08-08,140
2015-08-15,162
2015-08-22,305
2015-08-29,199
2015-09-05,127
2015-09-12,146
2015-09-19,203
2015-09-26,211
2015-10-03,190
2015-10-10,190
2015-10-17,279
2015-10-24,227
2015-10-31,183
2015-11-07,182
2015-11-14,197
2015-11-21,177
2015-11-28,162
2015-12-05,190
2015-12-12,175
2015-12-19,229
2015-12-26,191
2016-01-02,174
2016-01-09,183
2016-01-16,186
2016-01-23,177
2016-01-30,156
2016-02-06,133
2016-02-13,143
2016-02-20,145
2016-02-27,201
2016-03-05,196
2016-03-12,175
2016-03-19,163
2016-03-26,153
2016-04-02,143
2016-04-09,121
2016-04-16,129
2016-04-23,139
2016-04-30,135
2016-05-07,136
2016-05-14,133
2016-05-21,140
2016-05-28,142
2016-06-04,140
2016-06-11,131
2016-06-18,110
2016-06-25,128
2016-07-02,132
2016-07-09,129
2016-07-16,129
2016-07-23,137
2016-07-30,131
2016-08-06,129
2016-08-13,128
2016-08-20,132
2016-08-27,124
2016-09-03,135
2016-09-10,134
2016-09-17,126
2016-09-24,132
2016-10-01,115
2016-10-08,113
2016-10-15,197
2016-10-22,155
2016-10-29,144
2016-11-05,150
2016-11-12,131
2016-11-19,131
2016-11-26,125
2016-12-03,126
2016-12-10,131
2016-12-17,135
2016-12-24,137
2016-12-31,133
2017-01-07,127
2017-01-14,141
2017-01-21,124
2017-01-28,91
2017-02-04,102
2017-02-11,130
2017-02-18,126
2017-02-25,127
2017-03-04,125
2017-03-11,192
2017-03-18,150
2017-03-25,136
2017-04-01,120
2017-04-08,117
2017-04-15,126
2017-04-22,128
2017-04-29,121
2017-05-06,125
2017-05-13,124
2017-05-20,134
2017-05-27,112
2017-06-03,112
2017-06-10,125
2017-06-17,121
2017-06-24,133
2017-07-01,137
2017-07-08,145
2017-07-15,133
2017-07-22,143
2017-07-29,138
2017-08-05,138
2017-08-12,132
2017-08-19,130
2017-08-26,132
2017-09-02,138
2017-09-09,146
2017-09-16,138
2017-09-23,149
2017-09-30,131
2017-10-07,111
2017-10-14,303
2017-10-21,228
2017-10-28,173
2017-11-04,146
2017-11-11,152
2017-11-18,156
2017-11-25,133
2017-12-02,162
2017-12-09,142
2017-12-16,145
2017-12-23,145
2017-12-30,153
2018-01-06,136
2018-01-13,139
2018-01-20,146
2018-01-27,141
2018-02-03,133
2018-02-10,128
2018-02-17,115
2018-02-24,124
2018-03-03,216
2018-03-10,165
2018-03-17,149
2018-03-24,136
2018-03-31,131
2018-04-07,120
2018-04-14,139
2018-04-21,133
2018-04-28,126
2018-05-05,115
2018-05-12,141
2018-05-19,135
2018-05-26,140
2018-06-02,137
2018-06-09,138
2018-06-16,138
2018-06-23,129
2018-06-30,123
2018-07-07,126
2018-07-14,117
2018-07-21,141
2018-07-28,138
2018-08-04,127
2018-08-11,121
2018-08-18,121
2018-08-25,131
2018-09-01,129
2018-09-08,132
2018-09-15,122
2018-09-22,110
2018-09-29,118
2018-10-06,126
2018-10-13,208
2018-10-20,147
2018-10-27,195
2018-11-03,147
2018-11-10,145
2018-11-17,122
2018-11-24,147
2018-12-01,126
2018-12-08,137
2018-12-15,134
2018-12-22,139
2018-12-29,124
2019-01-05,126
2019-01-12,129
2019-01-19,129
2019-01-26,127
2019-02-02,113
2019-02-09,108
2019-02-16,134
2019-02-23,122
2019-03-02,176
2019-03-09,137
2019-03-16,135
2019-03-23,124
2019-03-30,125
2019-04-06,127
2019-04-13,128
2019-04-20,131
2019-04-27,128
2019-05-04,114
2019-05-11,128
2019-05-18,126
2019-05-25,130
2019-06-01,122
2019-06-08,122
2019-06-15,116
2019-06-22,115
2019-06-29,98
2019-07-06,131
2019-07-13,123
2019-07-20,120
2019-07-27,128
2019-08-03,121
2019-08-10,112
2019-08-17,118
2019-08-24,126
2019-08-31,124
2019-09-07,108
2019-09-14,106
2019-09-21,127
2019-09-28,127
2019-10-05,122
2019-10-12,215
2019-10-19,160
2019-10-26,145
2019-11-02,146
2019-11-09,134
2019-11-16,135
2019-11-23,163
2019-11-30,127
2019-12-07,133
2019-12-14,130
2019-12-21,128
2019-12-28,119
2020-01-04,116
2020-01-11,142
2020-01-18,132
2020-01-25,105
2020-02-01,83
2020-02-08,127
2020-02-15,132
2020-02-22,134
2020-02-29,184
2020-03-07,144
2020-03-14,148
2020-03-21,160
2020-03-28,132
2020-04-04,133
2020-04-11,173
2020-04-18,135
2020-04-25,130
2020-05-02,126
2020-05-09,132
2020-05-16,110
2020-05-23,135
2020-05-30,134
2020-06-06,114
2020-06-13,124
2020-06-20,125
2020-06-27,138
2020-07-04,128
2020-07-11,123
2020-07-18,109
2020-07-25,118
2020-08-01,116
2020-08-08,136
2020-08-15,129
2020-08-22,122
2020-08-29,122
2020-09-05,124
2020-09-12,165
2020-09-19,126
2020-09-26,108
2020-10-03,121
2020-10-10,104
2020-10-17,134
2020-10-24,198
2020-10-31,135
2020-11-07,142
2020-11-14,116
2020-11-21,127
2020-11-28,141
2020-12-05,123
2020-12-12,149
2020-12-19,109
2020-12-26,132
2021-01-02,132
2021-01-09,128
2021-01-16,140
2021-01-23,133
2021-01-30,124
2021-02-06,116
2021-02-13,132
2021-02-20,129
2021-02-27,125
2021-03-06,201
2021-03-13,135
2021-03-20,126
2021-03-27,187
2021-04-03,214
2021-04-10,175
2021-04-17,140
2021-04-24,124
2021-05-01,124
2021-05-08,128
2021-05-15,130
2021-05-22,131
2021-05-29,131
2021-06-05,115
2021-06-12,108
2021-06-19,117
2021-06-26,129
2021-07-03,107
2021-07-10,117
2021-07-17,124
2021-07-24,112
2021-07-31,94
2021-08-07,107
2021-08-14,123
2021-08-21,138
2021-08-28,121
2021-09-04,121
2021-09-11,105
2021-09-18,118
2021-09-25,128
2021-10-02,103
2021-10-09,110
2021-10-16,114
2021-10-23,116
2021-10-30,157
2021-11-06,119
2021-11-13,110
2021-11-20,126
2021-11-27,125
2021-12-04,114
2021-12-11,130
2021-12-18,125
2021-12-25,107
2022-01-01,117
2022-01-08,116
2022-01-15,129
2022-01-22,135
2022-01-29,122
2022-02-05,101
2022-02-12,132
2022-02-19,114
2022-02-26,113
2022-03-05,129
2022-03-12,129
2022-03-19,131
2022-03-26,123
2022-04-02,119
2022-04-09,101
2022-04-16,110
2022-04-23,108
2022-04-30,119
2022-05-07,124
2022-05-14,129
2022-05-21,123
2022-05-28,119
2022-06-04,106
2022-06-11,117
2022-06-18,117
2022-06-25,105
2022-07-02,104
2022-07-09,126
2022-07-16,123
2022-07-23,117
2022-07-30,107
2022-08-06,117
2022-08-13,116
2022-08-20,125
2022-08-27,120
2022-09-03,111
2022-09-10,141
2022-09-17,120
2022-09-24,114
2022-10-01,131
2022-10-08,99
2022-10-15,100
2022-10-22,107
2022-10-29,127
2022-11-05,124
2022-11-12,233
2022-11-19,149
2022-11-26,149
2022-12-03,141
2022-12-10,121
2022-12-17,230
2022-12-24,147
2022-12-31,135
2023-01-07,125
2023-01-14,132
2023-01-21,126
2023-01-28,104
2023-02-04,115
2023-02-11,129
2023-02-18,121
2023-02-25,146
2023-03-04,154
2023-03-11,165
2023-03-18,146
2023-03-25,149
2023-04-01,121
2023-04-08,109
2023-04-15,112
2023-04-22,128
2023-04-29,124
2023-05-06,109
2023-05-13,127
2023-05-20,115
2023-05-27,92
2023-06-03,101
2023-06-10,118
2023-06-17,97
2023-06-24,79
2023-07-01,105
2023-07-08,113
2023-07-15,109
2023-07-22,117
2023-07-29,128
2023-08-05,109
2023-08-12,126
2023-08-19,110
2023-08-26,103
2023-09-02,104
2023-09-09,108
2023-09-16,118
2023-09-23,106
2023-09-30,127
2023-10-07,127
2023-10-14,108
2023-10-21,84
2023-10-28,132
2023-11-04,104
2023-11-11,108
2023-11-18,173
2023-11-25,96
2023-12-02,113
2023-12-09,119
2023-12-16,106
2023-12-23,103
2023-12-30,113
2024-01-06,86
2024-01-13,130
2024-01-20,102
2024-01-27,110
2024-02-03,108
2024-02-10,98
2024-02-17,105
2024-02-24,107
2024-03-02,113
2024-03-09,110
2024-03-16,131
2024-03-23,146
2024-03-30,142
2024-04-06,90
2024-04-13,137
2024-04-20,121
2024-04-27,105
2024-05-04,101
2024-05-11,87
2024-05-18,76
2024-05-25,94
2024-06-01,111
2024-06-08,102
2024-06-15,94
2024-06-22,104
2024-06-29,93
2024-07-06,85
2024-07-13,89
2024-07-20,76
2024-07-27,100
2024-08-03,114
2024-08-10,87
2024-08-17,94
2024-08-24,104
2024-08-31,113
2024-09-07,106
2024-09-14,62
2024-09-21,111
2024-09-28,130
2024-10-05,81
2024-10-12,103
2024-10-19,116
2024-10-26,120
2024-11-02,147
2024-11-09,110
2024-11-16,97
2024-11-23,114
2024-11-30,120
2024-12-07,95
2024-12-14,118
2024-12-21,116
2024-12-28,97
2025-01-04,80
2025-01-11,113
2025-01-18,126
2025-01-25,115
2025-02-01,84
2025-02-08,106
2025-02-15,105
2025-02-22,107
2025-03-01,150
2025-03-08,134
2025-03-15,108
2025-03-22,152
2025-03-29,187
2025-04-05,123
2025-04-12,123
2025-04-19,131
2025-04-26,127
2025-05-03,122
2025-05-10,134
2025-05-17,110
2025-05-24,108
2025-05-31,117
2025-06-07,113
2025-06-14,136
2025-06-21,102
2025-06-28,107
2025-07-05,93
2025-07-12,105
2025-07-19,105
2025-07-26,79
2025-08-02,84
2025-08-09,106
2025-08-16,94
2025-08-23,93
2025-08-30,85
2025-09-06,51
2025-09-13,86
2025-09-20,78
2025-09-27,94
2025-10-04,86
2025-10-11,84
2025-10-18,83
2025-10-25,93
2025-11-01,117
2025-11-08,103
2025-11-15,87
2025-11-22,87
2025-11-29,95
2025-12-06,89
2025-12-13,75
2025-12-20,67
2025-12-27,84
2026-01-03,68
2026-01-10,85
2026-01-17,86
2026-01-24,75
2026-01-31,103
2026-02-07,116
2026-02-14,86
2026-02-21,72
2026-02-28,96
2026-03-07,87
2026-03-14,84
2026-03-21,86
2026-03-28,87
2026-04-04,80
2026-04-11,86
2026-04-18,79
2026-04-25,71
2026-05-02,87
