日期,胡润
2011-01-01,71
2011-01-08,45
2011-01-15,53
2011-01-22,82
2011-01-29,64
2011-02-05,52
2011-02-12,45
2011-02-19,60
2011-02-26,62
2011-03-05,52
2011-03-12,56
2011-03-19,52
2011-03-26,53
2011-04-02,60
2011-04-09,61
2011-04-16,69
2011-04-23,65
2011-04-30,59
2011-05-07,62
2011-05-14,61
2011-05-21,60
2011-05-28,60
2011-06-04,70
2011-06-11,50
2011-06-18,62
2011-06-25,52
2011-07-02,53
2011-07-09,61
2011-07-16,61
2011-07-23,63
2011-07-30,52
2011-08-06,50
2011-08-13,53
2011-08-20,59
2011-08-27,61
2011-09-03,58
2011-09-10,96
2011-09-17,63
2011-09-24,82
2011-10-01,67
2011-10-08,61
2011-10-15,64
2011-10-22,35
2011-10-29,59
2011-11-05,63
2011-11-12,50
2011-11-19,66
2011-11-26,60
2011-12-03,42
2011-12-10,51
2011-12-17,34
2011-12-24,59
2011-12-31,52
2012-01-07,52
2012-01-14,67
2012-01-21,67
2012-01-28,60
2012-02-04,58
2012-02-11,44
2012-02-18,44
2012-02-25,62
2012-03-03,59
2012-03-10,94
2012-03-17,63
2012-03-24,65
2012-03-31,74
2012-04-07,59
2012-04-14,73
2012-04-21,52
2012-04-28,59
2012-05-05,62
2012-05-12,65
2012-05-19,63
2012-05-26,68
2012-06-02,62
2012-06-09,55
2012-06-16,52
2012-06-23,52
2012-06-30,53
2012-07-07,63
2012-07-14,68
2012-07-21,66
2012-07-28,64
2012-08-04,58
2012-08-11,63
2012-08-18,52
2012-08-25,61
2012-09-01,61
2012-09-08,42
2012-09-15,42
2012-09-22,60
2012-09-29,81
2012-10-06,60
2012-10-13,69
2012-10-20,60
2012-10-27,54
2012-11-03,62
2012-11-10,52
2012-11-17,33
2012-11-24,35
2012-12-01,58
2012-12-08,51
2012-12-15,34
2012-12-22,33
2012-12-29,50
2013-01-05,52
2013-01-12,35
2013-01-19,61
2013-01-26,52
2013-02-02,51
2013-02-09,25
2013-02-16,42
2013-02-23,42
2013-03-02,70
2013-03-09,65
2013-03-16,61
2013-03-23,34
2013-03-30,42
2013-04-06,33
2013-04-13,60
2013-04-20,62
2013-04-27,61
2013-05-04,51
