日期,胡润
2011-01-01,128
2011-01-08,94
2011-01-15,85
2011-01-22,174
2011-01-29,83
2011-02-05,67
2011-02-12,77
2011-02-19,78
2011-02-26,76
2011-03-05,81
2011-03-12,90
2011-03-19,79
2011-03-26,78
2011-04-02,88
2011-04-09,76
2011-04-16,171
2011-04-23,115
2011-04-30,85
2011-05-07,80
2011-05-14,94
2011-05-21,107
2011-05-28,86
2011-06-04,122
2011-06-11,77
2011-06-18,99
2011-06-25,77
2011-07-02,79
2011-07-09,82
2011-07-16,104
2011-07-23,87
2011-07-30,81
2011-08-06,77
2011-08-13,72
2011-08-20,80
2011-08-27,84
2011-09-03,73
2011-09-10,251
2011-09-17,98
2011-09-24,208
2011-10-01,134
2011-10-08,95
2011-10-15,112
2011-10-22,83
2011-10-29,84
2011-11-05,111
2011-11-12,82
2011-11-19,119
2011-11-26,83
2011-12-03,78
2011-12-10,72
2011-12-17,79
2011-12-24,80
2011-12-31,80
2012-01-07,73
2012-01-14,152
2012-01-21,98
2012-01-28,68
2012-02-04,72
2012-02-11,73
2012-02-18,75
2012-02-25,80
2012-03-03,75
2012-03-10,232
2012-03-17,95
2012-03-24,85
2012-03-31,115
2012-04-07,83
2012-04-14,102
2012-04-21,85
2012-04-28,76
2012-05-05,76
2012-05-12,88
2012-05-19,86
2012-05-26,113
2012-06-02,94
2012-06-09,92
2012-06-16,88
2012-06-23,78
2012-06-30,76
2012-07-07,73
2012-07-14,111
2012-07-21,92
2012-07-28,118
2012-08-04,106
2012-08-11,89
2012-08-18,87
2012-08-25,77
2012-09-01,81
2012-09-08,80
2012-09-15,76
2012-09-22,76
2012-09-29,183
2012-10-06,83
2012-10-13,136
2012-10-20,98
2012-10-27,95
2012-11-03,91
2012-11-10,99
2012-11-17,77
2012-11-24,92
2012-12-01,80
2012-12-08,70
2012-12-15,70
2012-12-22,75
2012-12-29,69
2013-01-05,70
2013-01-12,87
2013-01-19,85
2013-01-26,73
2013-02-02,71
2013-02-09,66
2013-02-16,55
2013-02-23,68
2013-03-02,199
2013-03-09,118
2013-03-16,89
2013-03-23,91
2013-03-30,82
2013-04-06,81
2013-04-13,95
2013-04-20,211
2013-04-27,102
2013-05-04,84
2013-05-11,86
2013-05-18,80
2013-05-25,76
2013-06-01,77
2013-06-08,88
2013-06-15,75
2013-06-22,72
2013-06-29,74
2013-07-06,153
2013-07-13,148
2013-07-20,176
2013-07-27,215
2013-08-03,242
2013-08-10,171
2013-08-17,288
2013-08-24,792
2013-08-31,220
2013-09-07,168
2013-09-14,534
2013-09-21,398
2013-09-28,295
2013-10-05,209
2013-10-12,368
2013-10-19,429
2013-10-26,342
2013-11-02,317
2013-11-09,338
2013-11-16,337
2013-11-23,317
2013-11-30,202
2013-12-07,218
2013-12-14,198
2013-12-21,191
2013-12-28,181
2014-01-04,163
2014-01-11,307
2014-01-18,321
2014-01-25,194
2014-02-01,372
2014-02-08,190
2014-02-15,233
2014-02-22,206
2014-03-01,611
2014-03-08,305
2014-03-15,251
2014-03-22,251
2014-03-29,224
2014-04-05,223
2014-04-12,292
2014-04-19,389
2014-04-26,356
2014-05-03,220
2014-05-10,271
2014-05-17,310
2014-05-24,327
2014-05-31,279
2014-06-07,323
2014-06-14,299
2014-06-21,332
2014-06-28,519
2014-07-05,414
2014-07-12,449
2014-07-19,460
2014-07-26,463
2014-08-02,519
2014-08-09,414
2014-08-16,439
2014-08-23,464
2014-08-30,555
2014-09-06,387
2014-09-13,408
2014-09-20,476
2014-09-27,855
2014-10-04,387
2014-10-11,405
2014-10-18,357
2014-10-25,665
2014-11-01,484
2014-11-08,380
2014-11-15,347
2014-11-22,364
2014-11-29,400
2014-12-06,292
2014-12-13,322
2014-12-20,297
2014-12-27,346
2015-01-03,265
2015-01-10,264
2015-01-17,238
2015-01-24,236
2015-01-31,273
2015-02-07,537
2015-02-14,229
2015-02-21,177
2015-02-28,188
2015-03-07,233
2015-03-14,226
2015-03-21,251
2015-03-28,215
2015-04-04,303
2015-04-11,238
2015-04-18,272
2015-04-25,259
2015-05-02,245
2015-05-09,572
2015-05-16,260
