日期,胡润
2011-01-01,65
2011-01-08,51
2011-01-15,54
2011-01-22,73
2011-01-29,61
2011-02-05,42
2011-02-12,59
2011-02-19,50
2011-02-26,53
2011-03-05,51
2011-03-12,61
2011-03-19,52
2011-03-26,61
2011-04-02,62
2011-04-09,55
2011-04-16,91
2011-04-23,75
2011-04-30,65
2011-05-07,60
2011-05-14,63
2011-05-21,55
2011-05-28,43
2011-06-04,62
2011-06-11,51
2011-06-18,61
2011-06-25,34
2011-07-02,61
2011-07-09,52
2011-07-16,64
2011-07-23,60
2011-07-30,52
2011-08-06,42
2011-08-13,35
2011-08-20,42
2011-08-27,52
2011-09-03,51
2011-09-10,78
2011-09-17,61
2011-09-24,79
2011-10-01,66
2011-10-08,43
2011-10-15,61
2011-10-22,60
2011-10-29,61
2011-11-05,62
2011-11-12,43
2011-11-19,64
2011-11-26,61
2011-12-03,51
2011-12-10,50
2011-12-17,51
2011-12-24,58
2011-12-31,51
2012-01-07,50
2012-01-14,72
2012-01-21,64
2012-01-28,16
2012-02-04,51
2012-02-11,43
2012-02-18,52
2012-02-25,42
2012-03-03,50
2012-03-10,86
2012-03-17,61
2012-03-24,60
2012-03-31,72
2012-04-07,52
2012-04-14,65
2012-04-21,43
2012-04-28,34
2012-05-05,50
2012-05-12,59
2012-05-19,52
2012-05-26,65
2012-06-02,65
2012-06-09,63
2012-06-16,61
2012-06-23,51
2012-06-30,33
2012-07-07,60
2012-07-14,55
2012-07-21,62
2012-07-28,64
2012-08-04,52
2012-08-11,52
2012-08-18,43
2012-08-25,42
2012-09-01,59
2012-09-08,42
2012-09-15,41
2012-09-22,58
2012-09-29,73
2012-10-06,50
2012-10-13,68
2012-10-20,51
2012-10-27,50
2012-11-03,44
2012-11-10,60
2012-11-17,51
2012-11-24,61
2012-12-01,43
2012-12-08,50
2012-12-15,25
2012-12-22,42
2012-12-29,50
2013-01-05,33
2013-01-12,42
2013-01-19,44
2013-01-26,33
2013-02-02,43
2013-02-09,0
2013-02-16,33
2013-02-23,50
2013-03-02,77
2013-03-09,64
2013-03-16,60
2013-03-23,26
2013-03-30,52
2013-04-06,50
2013-04-13,60
2013-04-20,54
2013-04-27,44
2013-05-04,58
2013-05-11,52
2013-05-18,51
2013-05-25,17
2013-06-01,16
2013-06-08,43
2013-06-15,42
2013-06-22,33
2013-06-29,16
2013-07-06,77
2013-07-13,83
2013-07-20,94
2013-07-27,112
2013-08-03,126
2013-08-10,111
2013-08-17,119
2013-08-24,228
2013-08-31,112
2013-09-07,159
2013-09-14,182
2013-09-21,153
2013-09-28,134
2013-10-05,114
2013-10-12,127
2013-10-19,144
2013-10-26,139
2013-11-02,137
2013-11-09,147
2013-11-16,134
2013-11-23,135
2013-11-30,97
2013-12-07,112
2013-12-14,118
2013-12-21,93
2013-12-28,103
2014-01-04,109
2014-01-11,139
2014-01-18,132
2014-01-25,116
2014-02-01,147
2014-02-08,116
2014-02-15,127
2014-02-22,108
2014-03-01,175
2014-03-08,129
2014-03-15,132
2014-03-22,129
2014-03-29,97
2014-04-05,126
2014-04-12,117
2014-04-19,141
2014-04-26,135
2014-05-03,90
2014-05-10,122
2014-05-17,136
2014-05-24,109
2014-05-31,122
2014-06-07,129
2014-06-14,133
2014-06-21,124
2014-06-28,154
2014-07-05,137
2014-07-12,136
2014-07-19,147
2014-07-26,138
2014-08-02,123
