日期,胡润
2011-01-01,77
2011-01-08,52
2011-01-15,61
2011-01-22,72
2011-01-29,52
2011-02-05,34
2011-02-12,34
2011-02-19,43
2011-02-26,43
2011-03-05,61
2011-03-12,61
2011-03-19,60
2011-03-26,52
2011-04-02,50
2011-04-09,50
2011-04-16,81
2011-04-23,60
2011-04-30,61
2011-05-07,51
2011-05-14,61
2011-05-21,66
2011-05-28,52
2011-06-04,67
2011-06-11,53
2011-06-18,39
2011-06-25,51
2011-07-02,61
2011-07-09,59
2011-07-16,63
2011-07-23,43
2011-07-30,51
2011-08-06,59
2011-08-13,42
2011-08-20,51
2011-08-27,50
2011-09-03,43
2011-09-10,89
2011-09-17,63
2011-09-24,84
2011-10-01,74
2011-10-08,51
2011-10-15,64
2011-10-22,61
2011-10-29,52
2011-11-05,63
2011-11-12,51
2011-11-19,57
2011-11-26,61
2011-12-03,52
2011-12-10,61
2011-12-17,51
2011-12-24,51
2011-12-31,58
2012-01-07,44
2012-01-14,69
2012-01-21,56
2012-01-28,43
2012-02-04,51
2012-02-11,43
2012-02-18,42
2012-02-25,61
2012-03-03,50
2012-03-10,100
2012-03-17,65
2012-03-24,52
2012-03-31,68
2012-04-07,61
2012-04-14,65
2012-04-21,59
2012-04-28,52
2012-05-05,53
2012-05-12,52
2012-05-19,62
2012-05-26,63
2012-06-02,51
2012-06-09,52
2012-06-16,52
2012-06-23,53
2012-06-30,53
2012-07-07,43
2012-07-14,63
2012-07-21,53
2012-07-28,57
2012-08-04,55
2012-08-11,52
2012-08-18,42
2012-08-25,42
2012-09-01,43
2012-09-08,60
2012-09-15,51
2012-09-22,50
2012-09-29,71
2012-10-06,51
2012-10-13,57
2012-10-20,62
2012-10-27,42
2012-11-03,62
2012-11-10,63
2012-11-17,59
2012-11-24,61
2012-12-01,52
2012-12-08,44
2012-12-15,42
2012-12-22,50
2012-12-29,42
2013-01-05,43
2013-01-12,42
2013-01-19,26
2013-01-26,25
2013-02-02,52
2013-02-09,42
2013-02-16,25
2013-02-23,50
2013-03-02,73
2013-03-09,65
2013-03-16,36
2013-03-23,42
2013-03-30,51
2013-04-06,51
2013-04-13,61
2013-04-20,62
2013-04-27,60
2013-05-04,44
2013-05-11,61
2013-05-18,51
2013-05-25,58
2013-06-01,51
2013-06-08,60
2013-06-15,35
2013-06-22,51
2013-06-29,35
2013-07-06,69
2013-07-13,83
2013-07-20,93
2013-07-27,115
2013-08-03,109
2013-08-10,110
2013-08-17,116
2013-08-24,211
2013-08-31,119
2013-09-07,105
2013-09-14,168
2013-09-21,138
2013-09-28,128
2013-10-05,121
2013-10-12,137
2013-10-19,151
2013-10-26,139
2013-11-02,152
2013-11-09,157
2013-11-16,154
2013-11-23,132
2013-11-30,93
