日期,胡润
2011-01-01,0
2011-01-08,0
2011-01-15,0
2011-01-22,0
2011-01-29,0
2011-02-05,0
2011-02-12,0
2011-02-19,0
2011-02-26,0
2011-03-05,0
2011-03-12,0
2011-03-19,0
2011-03-26,0
2011-04-02,0
2011-04-09,0
2011-04-16,0
2011-04-23,0
2011-04-30,0
2011-05-07,0
2011-05-14,0
2011-05-21,0
2011-05-28,0
2011-06-04,0
2011-06-11,0
2011-06-18,0
2011-06-25,0
2011-07-02,0
2011-07-09,0
2011-07-16,0
2011-07-23,0
2011-07-30,0
2011-08-06,0
2011-08-13,0
2011-08-20,0
2011-08-27,0
2011-09-03,0
2011-09-10,0
2011-09-17,0
2011-09-24,0
2011-10-01,0
2011-10-08,0
2011-10-15,0
2011-10-22,0
2011-10-29,0
2011-11-05,0
2011-11-12,0
2011-11-19,0
2011-11-26,0
2011-12-03,0
2011-12-10,0
2011-12-17,0
2011-12-24,0
2011-12-31,0
2012-01-07,0
2012-01-14,0
2012-01-21,0
2012-01-28,0
2012-02-04,0
2012-02-11,0
2012-02-18,0
2012-02-25,0
2012-03-03,0
2012-03-10,0
2012-03-17,0
2012-03-24,0
2012-03-31,0
2012-04-07,0
2012-04-14,0
2012-04-21,0
2012-04-28,0
2012-05-05,0
2012-05-12,0
2012-05-19,0
2012-05-26,0
2012-06-02,0
2012-06-09,0
2012-06-16,0
2012-06-23,0
2012-06-30,0
2012-07-07,0
2012-07-14,0
2012-07-21,0
2012-07-28,0
2012-08-04,0
2012-08-11,0
2012-08-18,0
2012-08-25,0
2012-09-01,0
2012-09-08,0
2012-09-15,0
2012-09-22,0
2012-09-29,0
2012-10-06,0
2012-10-13,0
2012-10-20,0
2012-10-27,0
2012-11-03,0
2012-11-10,0
2012-11-17,0
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,0
2014-03-01,0
2014-03-08,0
2014-03-15,0
2014-03-22,0
2014-03-29,0
2014-04-05,0
2014-04-12,0
2014-04-19,0
2014-04-26,0
2014-05-03,0
2014-05-10,0
2014-05-17,0
2014-05-24,0
2014-05-31,0
2014-06-07,0
2014-06-14,0
2014-06-21,0
2014-06-28,0
2014-07-05,0
2014-07-12,0
2014-07-19,0
2014-07-26,0
2014-08-02,0
2014-08-09,0
2014-08-16,0
2014-08-23,0
2014-08-30,0
2014-09-06,0
2014-09-13,0
2014-09-20,0
2014-09-27,0
2014-10-04,0
2014-10-11,0
2014-10-18,0
2014-10-25,0
2014-11-01,0
2014-11-08,0
2014-11-15,0
2014-11-22,0
2014-11-29,0
2014-12-06,0
2014-12-13,0
2014-12-20,0
2014-12-27,0
2015-01-03,0
2015-01-10,0
2015-01-17,0
2015-01-24,8
2015-01-31,0
2015-02-07,0
2015-02-14,0
2015-02-21,0
2015-02-28,0
2015-03-07,0
2015-03-14,0
2015-03-21,0
2015-03-28,0
2015-04-04,0
2015-04-11,0
2015-04-18,0
2015-04-25,0
2015-05-02,0
2015-05-09,0
2015-05-16,0
2015-05-23,0
2015-05-30,0
2015-06-06,0
2015-06-13,0
2015-06-20,0
2015-06-27,0
2015-07-04,0
2015-07-11,0
2015-07-18,0
2015-07-25,0
2015-08-01,0
2015-08-08,0
2015-08-15,0
2015-08-22,0
2015-08-29,0
2015-09-05,0
2015-09-12,0
2015-09-19,0
2015-09-26,0
2015-10-03,0
2015-10-10,0
2015-10-17,0
2015-10-24,0
2015-10-31,0
2015-11-07,0
2015-11-14,0
2015-11-21,0
2015-11-28,0
2015-12-05,0
2015-12-12,0
2015-12-19,0
2015-12-26,0
2016-01-02,0
2016-01-09,0
2016-01-16,0
2016-01-23,0
2016-01-30,0
2016-02-06,0
2016-02-13,0
2016-02-20,0
2016-02-27,0
2016-03-05,0
2016-03-12,0
2016-03-19,0
2016-03-26,0
2016-04-02,0
2016-04-09,0
2016-04-16,0
2016-04-23,0
2016-04-30,0
2016-05-07,0
2016-05-14,0
2016-05-21,0
2016-05-28,0
2016-06-04,0
2016-06-11,0
2016-06-18,0
2016-06-25,0
2016-07-02,0
2016-07-09,0
2016-07-16,0
2016-07-23,0
2016-07-30,0
2016-08-06,0
2016-08-13,0
2016-08-20,0
2016-08-27,0
2016-09-03,0
2016-09-10,0
2016-09-17,0
2016-09-24,0
2016-10-01,0
2016-10-08,0
2016-10-15,0
2016-10-22,0
2016-10-29,0
2016-11-05,0
2016-11-12,0
2016-11-19,0
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,0
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,0
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,0
2017-04-08,0
2017-04-15,0
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,8
2017-05-20,0
2017-05-27,0
2017-06-03,0
2017-06-10,0
2017-06-17,0
2017-06-24,0
2017-07-01,16
2017-07-08,8
2017-07-15,0
2017-07-22,8
2017-07-29,0
2017-08-05,0
2017-08-12,0
2017-08-19,0
2017-08-26,0
2017-09-02,0
2017-09-09,8
2017-09-16,0
2017-09-23,0
2017-09-30,8
2017-10-07,16
2017-10-14,25
2017-10-21,24
2017-10-28,8
2017-11-04,16
2017-11-11,8
2017-11-18,8
2017-11-25,0
2017-12-02,0
2017-12-09,0
2017-12-16,0
2017-12-23,0
2017-12-30,0
2018-01-06,0
2018-01-13,8
2018-01-20,16
2018-01-27,8
2018-02-03,8
2018-02-10,0
2018-02-17,0
2018-02-24,0
2018-03-03,8
2018-03-10,0
2018-03-17,0
2018-03-24,0
2018-03-31,0
2018-04-07,0
2018-04-14,8
2018-04-21,0
2018-04-28,0
2018-05-05,0
2018-05-12,8
2018-05-19,0
2018-05-26,0
2018-06-02,16
2018-06-09,0
2018-06-16,8
2018-06-23,0
2018-06-30,0
2018-07-07,8
2018-07-14,0
2018-07-21,0
2018-07-28,0
2018-08-04,0
2018-08-11,0
2018-08-18,0
2018-08-25,0
2018-09-01,16
2018-09-08,8
2018-09-15,0
2018-09-22,0
2018-09-29,0
2018-10-06,0
2018-10-13,25
2018-10-20,8
2018-10-27,33
2018-11-03,16
2018-11-10,0
2018-11-17,8
2018-11-24,8
2018-12-01,8
2018-12-08,0
2018-12-15,8
2018-12-22,0
2018-12-29,0
2019-01-05,0
2019-01-12,0
2019-01-19,0
2019-01-26,0
2019-02-02,0
2019-02-09,0
2019-02-16,0
2019-02-23,0
2019-03-02,16
2019-03-09,0
2019-03-16,8
2019-03-23,0
2019-03-30,8
2019-04-06,0
2019-04-13,8
2019-04-20,0
2019-04-27,0
2019-05-04,0
2019-05-11,0
2019-05-18,0
2019-05-25,0
2019-06-01,0
2019-06-08,8
2019-06-15,8
2019-06-22,0
2019-06-29,16
2019-07-06,8
2019-07-13,0
2019-07-20,8
2019-07-27,0
2019-08-03,0
2019-08-10,0
2019-08-17,0
2019-08-24,0
2019-08-31,0
2019-09-07,0
2019-09-14,0
2019-09-21,8
2019-09-28,0
2019-10-05,0
2019-10-12,0
2019-10-19,0
2019-10-26,8
2019-11-02,0
2019-11-09,0
2019-11-16,0
2019-11-23,8
2019-11-30,0
2019-12-07,0
2019-12-14,0
2019-12-21,8
2019-12-28,0
2020-01-04,0
2020-01-11,8
2020-01-18,0
2020-01-25,0
2020-02-01,0
2020-02-08,0
2020-02-15,0
2020-02-22,0
2020-02-29,0
2020-03-07,0
2020-03-14,0
2020-03-21,0
2020-03-28,0
2020-04-04,0
2020-04-11,0
2020-04-18,0
2020-04-25,0
