日期,胡润
2011-01-01,32
2011-01-08,16
2011-01-15,17
2011-01-22,35
2011-01-29,17
2011-02-05,24
2011-02-12,16
2011-02-19,8
2011-02-26,33
2011-03-05,34
2011-03-12,34
2011-03-19,41
2011-03-26,8
2011-04-02,24
2011-04-09,0
2011-04-16,36
2011-04-23,33
2011-04-30,25
2011-05-07,25
2011-05-14,33
2011-05-21,33
2011-05-28,24
2011-06-04,43
2011-06-11,33
2011-06-18,24
2011-06-25,41
2011-07-02,34
2011-07-09,0
2011-07-16,42
2011-07-23,34
2011-07-30,17
2011-08-06,25
2011-08-13,0
2011-08-20,33
2011-08-27,17
2011-09-03,24
2011-09-10,48
2011-09-17,34
2011-09-24,62
2011-10-01,60
2011-10-08,33
2011-10-15,41
2011-10-22,34
2011-10-29,33
2011-11-05,25
2011-11-12,33
2011-11-19,34
2011-11-26,42
2011-12-03,16
2011-12-10,9
2011-12-17,16
2011-12-24,34
2011-12-31,25
2012-01-07,41
2012-01-14,29
2012-01-21,42
2012-01-28,33
2012-02-04,17
2012-02-11,16
2012-02-18,16
2012-02-25,8
2012-03-03,24
2012-03-10,67
2012-03-17,43
2012-03-24,33
2012-03-31,51
2012-04-07,41
2012-04-14,43
2012-04-21,24
2012-04-28,8
2012-05-05,50
2012-05-12,49
2012-05-19,41
2012-05-26,60
2012-06-02,50
2012-06-09,33
2012-06-16,33
2012-06-23,8
2012-06-30,41
2012-07-07,8
2012-07-14,43
2012-07-21,42
2012-07-28,9
2012-08-04,8
2012-08-11,17
2012-08-18,33
2012-08-25,8
2012-09-01,17
2012-09-08,34
2012-09-15,33
2012-09-22,17
2012-09-29,52
2012-10-06,8
2012-10-13,58
2012-10-20,33
2012-10-27,41
2012-11-03,49
2012-11-10,25
2012-11-17,8
2012-11-24,24
2012-12-01,17
2012-12-08,16
2012-12-15,25
2012-12-22,8
2012-12-29,17
2013-01-05,16
2013-01-12,33
2013-01-19,0
2013-01-26,16
2013-02-02,17
2013-02-09,8
2013-02-16,0
2013-02-23,33
2013-03-02,27
2013-03-09,33
2013-03-16,17
2013-03-23,33
2013-03-30,34
2013-04-06,16
2013-04-13,49
2013-04-20,17
2013-04-27,25
2013-05-04,16
2013-05-11,16
2013-05-18,16
2013-05-25,25
2013-06-01,16
2013-06-08,25
2013-06-15,8
2013-06-22,8
2013-06-29,8
2013-07-06,58
2013-07-13,66
2013-07-20,66
2013-07-27,68
2013-08-03,90
2013-08-10,74
2013-08-17,76
2013-08-24,105
2013-08-31,51
2013-09-07,58
2013-09-14,116
2013-09-21,103
2013-09-28,104
2013-10-05,42
2013-10-12,95
2013-10-19,108
2013-10-26,92
2013-11-02,93
2013-11-09,110
2013-11-16,120
2013-11-23,95
2013-11-30,67
2013-12-07,50
2013-12-14,65
2013-12-21,66
2013-12-28,41
2014-01-04,33
2014-01-11,77
2014-01-18,101
2014-01-25,92
2014-02-01,89
2014-02-08,76
2014-02-15,83
2014-02-22,86
2014-03-01,118
2014-03-08,88
2014-03-15,102
2014-03-22,86
2014-03-29,60
2014-04-05,83
2014-04-12,76
2014-04-19,98
2014-04-26,100
2014-05-03,75
2014-05-10,75
2014-05-17,85
2014-05-24,77
2014-05-31,77
2014-06-07,111
2014-06-14,80
2014-06-21,84
2014-06-28,100
2014-07-05,75
2014-07-12,84
2014-07-19,114
2014-07-26,114
2014-08-02,103
2014-08-09,88
2014-08-16,111
2014-08-23,93
2014-08-30,112
2014-09-06,104
2014-09-13,119
2014-09-20,110
2014-09-27,144
2014-10-04,123
2014-10-11,106
2014-10-18,87
2014-10-25,136
2014-11-01,118
2014-11-08,108
2014-11-15,97
2014-11-22,113
2014-11-29,119
2014-12-06,103
2014-12-13,107
2014-12-20,97
2014-12-27,97
2015-01-03,79
2015-01-10,76
2015-01-17,76
2015-01-24,93
2015-01-31,101
2015-02-07,123
2015-02-14,77
2015-02-21,33
2015-02-28,67
2015-03-07,50
2015-03-14,83
2015-03-21,51
2015-03-28,76
2015-04-04,86
2015-04-11,83
2015-04-18,108
2015-04-25,85
2015-05-02,74
2015-05-09,105
2015-05-16,86
2015-05-23,75
2015-05-30,92
2015-06-06,90
2015-06-13,100
2015-06-20,58
2015-06-27,51
2015-07-04,117
2015-07-11,69
2015-07-18,92
2015-07-25,81
2015-08-01,92
2015-08-08,75
2015-08-15,94
2015-08-22,138
2015-08-29,72
2015-09-05,58
2015-09-12,112
2015-09-19,121
2015-09-26,131
2015-10-03,112
2015-10-10,114
2015-10-17,153
2015-10-24,142
2015-10-31,130
2015-11-07,120
2015-11-14,120
2015-11-21,118
2015-11-28,101
2015-12-05,128
2015-12-12,125
2015-12-19,153
2015-12-26,132
2016-01-02,100
2016-01-09,118
2016-01-16,128
2016-01-23,131
2016-01-30,105
2016-02-06,86
2016-02-13,87
2016-02-20,93
2016-02-27,139
2016-03-05,129
2016-03-12,125
2016-03-19,121
2016-03-26,97
2016-04-02,92
2016-04-09,74
2016-04-16,91
2016-04-23,66
2016-04-30,76
2016-05-07,92
2016-05-14,75
2016-05-21,100
2016-05-28,111
2016-06-04,100
2016-06-11,83
2016-06-18,67
2016-06-25,50
2016-07-02,66
2016-07-09,67
2016-07-16,41
2016-07-23,83
2016-07-30,66
2016-08-06,59
2016-08-13,42
2016-08-20,78
2016-08-27,50
2016-09-03,84
2016-09-10,59
2016-09-17,74
2016-09-24,58
2016-10-01,49
2016-10-08,49
2016-10-15,102
2016-10-22,99
2016-10-29,80
2016-11-05,98
2016-11-12,66
2016-11-19,75
2016-11-26,66
2016-12-03,59
2016-12-10,77
2016-12-17,75
2016-12-24,92
2016-12-31,58
2017-01-07,84
2017-01-14,77
2017-01-21,83
2017-01-28,42
2017-02-04,66
2017-02-11,67
2017-02-18,49
2017-02-25,76
2017-03-04,92
2017-03-11,103
2017-03-18,80
2017-03-25,76
2017-04-01,41
2017-04-08,59
2017-04-15,41
2017-04-22,73
2017-04-29,50
2017-05-06,50
2017-05-13,42
2017-05-20,76
2017-05-27,75
2017-06-03,50
2017-06-10,85
2017-06-17,51
2017-06-24,75
2017-07-01,58
2017-07-08,84
2017-07-15,86
2017-07-22,92
2017-07-29,69
2017-08-05,51
2017-08-12,74
2017-08-19,74
2017-08-26,93
2017-09-02,67
2017-09-09,69
2017-09-16,68
2017-09-23,104
2017-09-30,50
2017-10-07,58
2017-10-14,142
2017-10-21,126
2017-10-28,113
2017-11-04,83
2017-11-11,79
2017-11-18,117
2017-11-25,101
2017-12-02,87
2017-12-09,87
2017-12-16,78
2017-12-23,51
2017-12-30,63
2018-01-06,78
2018-01-13,109
2018-01-20,86
2018-01-27,78
2018-02-03,92
2018-02-10,58
2018-02-17,50
2018-02-24,75
2018-03-03,118
2018-03-10,112
2018-03-17,103
2018-03-24,52
2018-03-31,85
2018-04-07,59
2018-04-14,76
2018-04-21,93
2018-04-28,42
2018-05-05,41
2018-05-12,43
2018-05-19,83
2018-05-26,92
2018-06-02,75
2018-06-09,66
2018-06-16,50
2018-06-23,58
2018-06-30,74
2018-07-07,59
2018-07-14,67
2018-07-21,69
2018-07-28,75
2018-08-04,75
2018-08-11,83
2018-08-18,83
2018-08-25,50
2018-09-01,68
2018-09-08,75
2018-09-15,66
2018-09-22,82
2018-09-29,67
2018-10-06,41
2018-10-13,93
2018-10-20,85
2018-10-27,106
2018-11-03,99
2018-11-10,84
2018-11-17,92
2018-11-24,101
2018-12-01,75
2018-12-08,100
2018-12-15,102
2018-12-22,101
2018-12-29,60
2019-01-05,87
2019-01-12,69
2019-01-19,76
2019-01-26,60
2019-02-02,66
2019-02-09,58
2019-02-16,67
2019-02-23,59
