日期,胡润
2011-01-01,80
2011-01-08,70
2011-01-15,64
2011-01-22,92
2011-01-29,65
2011-02-05,60
2011-02-12,56
2011-02-19,67
2011-02-26,64
2011-03-05,63
2011-03-12,68
2011-03-19,62
2011-03-26,65
2011-04-02,61
2011-04-09,65
2011-04-16,105
2011-04-23,85
2011-04-30,74
2011-05-07,65
2011-05-14,69
2011-05-21,75
2011-05-28,62
2011-06-04,70
2011-06-11,63
2011-06-18,69
2011-06-25,64
2011-07-02,65
2011-07-09,68
2011-07-16,78
2011-07-23,66
2011-07-30,62
2011-08-06,65
2011-08-13,59
2011-08-20,61
2011-08-27,76
2011-09-03,65
2011-09-10,126
2011-09-17,73
2011-09-24,126
2011-10-01,109
2011-10-08,66
2011-10-15,82
2011-10-22,67
2011-10-29,62
2011-11-05,76
2011-11-12,67
2011-11-19,77
2011-11-26,55
2011-12-03,64
2011-12-10,66
2011-12-17,64
2011-12-24,62
2011-12-31,61
2012-01-07,52
2012-01-14,93
2012-01-21,61
2012-01-28,60
2012-02-04,64
2012-02-11,64
2012-02-18,53
2012-02-25,61
2012-03-03,61
2012-03-10,125
2012-03-17,67
2012-03-24,64
2012-03-31,73
2012-04-07,66
2012-04-14,86
2012-04-21,68
2012-04-28,65
2012-05-05,64
2012-05-12,91
2012-05-19,66
2012-05-26,110
2012-06-02,71
2012-06-09,65
2012-06-16,63
2012-06-23,65
2012-06-30,64
2012-07-07,65
2012-07-14,72
2012-07-21,69
2012-07-28,75
2012-08-04,70
2012-08-11,65
2012-08-18,73
2012-08-25,66
2012-09-01,68
2012-09-08,64
2012-09-15,60
2012-09-22,52
2012-09-29,115
2012-10-06,54
2012-10-13,93
2012-10-20,73
2012-10-27,77
2012-11-03,65
2012-11-10,69
2012-11-17,53
2012-11-24,64
2012-12-01,66
2012-12-08,62
2012-12-15,60
2012-12-22,52
2012-12-29,53
2013-01-05,59
2013-01-12,62
2013-01-19,70
2013-01-26,62
2013-02-02,60
2013-02-09,61
2013-02-16,61
2013-02-23,63
2013-03-02,128
2013-03-09,100
2013-03-16,70
2013-03-23,63
2013-03-30,63
2013-04-06,44
2013-04-13,171
2013-04-20,217
2013-04-27,90
2013-05-04,62
2013-05-11,69
2013-05-18,61
2013-05-25,61
2013-06-01,53
2013-06-08,56
2013-06-15,61
2013-06-22,51
2013-06-29,54
2013-07-06,121
2013-07-13,122
2013-07-20,129
2013-07-27,137
2013-08-03,149
2013-08-10,126
2013-08-17,172
2013-08-24,298
2013-08-31,133
